X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,ObjectId
-8850989.33588012,5406999.46623416,5375829,1045558,2008,2008/06/30 04:00:00+00,120,1,F G GARDINER XY  W,ISLINGTON AVE,<Null>,<Null>,Etobicoke York,3,22,43.621145,-79.50979,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Passenger,20 to 24,Minor,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,D22,16,Stonegate-Queensway (16),1
-8850989.33588012,5406999.46623416,5375830,1045558,2008,2008/06/30 04:00:00+00,120,1,F G GARDINER XY  W,ISLINGTON AVE,<Null>,<Null>,Etobicoke York,3,22,43.621145,-79.50979,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Passenger,25 to 29,Minor,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,D22,16,Stonegate-Queensway (16),2
-8850989.33588012,5406999.46623416,5375831,1045558,2008,2008/06/30 04:00:00+00,120,1,F G GARDINER XY  W,ISLINGTON AVE,<Null>,<Null>,Etobicoke York,3,22,43.621145,-79.50979,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Passenger,25 to 29,Major,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,D22,16,Stonegate-Queensway (16),3
-8850989.33588012,5406999.46623416,5375832,1045558,2008,2008/06/30 04:00:00+00,120,1,F G GARDINER XY  W,ISLINGTON AVE,<Null>,<Null>,Etobicoke York,3,22,43.621145,-79.50979,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Passenger,25 to 29,Major,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,D22,16,Stonegate-Queensway (16),4
-8850989.33588012,5406999.46623416,5375833,1045558,2008,2008/06/30 04:00:00+00,120,1,F G GARDINER XY  W,ISLINGTON AVE,<Null>,<Null>,Etobicoke York,3,22,43.621145,-79.50979,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Driver,30 to 34,Major,<Null>,West,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Alcohol",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,D22,16,Stonegate-Queensway (16),5
-8839434.37273577,5411798.45328412,5393287,1053246,2008,2008/07/19 04:00:00+00,1744,17,BATHURST ST,DUNDAS ST W,<Null>,Major Arterial,Toronto and East York,"11,10",14,43.652345,-79.40599,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,45 to 49,Major,<Null>,South,Motorcycle,Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,D14,78,Kensington-Chinatown (78),6
-8839434.37273577,5411798.45328412,5393288,1053246,2008,2008/07/19 04:00:00+00,1744,17,BATHURST ST,DUNDAS ST W,<Null>,Major Arterial,Toronto and East York,"11,10",14,43.652345,-79.40599,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,None,<Null>,North,"Automobile, Station Wagon",Turning Left,Improper Turn,"Ability Impaired, Alcohol",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,D14,78,Kensington-Chinatown (78),7
-8835527.05860893,5411167.6749302,5388635,1051130,2008,2008/07/31 04:00:00+00,2245,22,LOWER JARVIS ST,THE ESPLANADE,<Null>,Major Arterial,Toronto and East York,"10,13",51,43.648245,-79.37089,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,D51,77,Waterfront Communities-The Island (77),8
-8835527.05860893,5411167.6749302,5388636,1051130,2008,2008/07/31 04:00:00+00,2245,22,LOWER JARVIS ST,THE ESPLANADE,<Null>,Major Arterial,Toronto and East York,"10,13",51,43.648245,-79.37089,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,55 to 59,None,<Null>,South,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,"Ability Impaired, Alcohol Over .08",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,D51,77,Waterfront Communities-The Island (77),9
-8835527.05860893,5411167.6749302,5388637,1051130,2008,2008/07/31 04:00:00+00,2245,22,LOWER JARVIS ST,THE ESPLANADE,<Null>,Major Arterial,Toronto and East York,"10,13",51,43.648245,-79.37089,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,50 to 54,Major,<Null>,North,Bicycle,Turning Left,<Null>,<Null>,<Null>,<Null>,<Null>,Cyclist turned left across motorists path.,Driving Properly,Normal,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,D51,77,Waterfront Communities-The Island (77),10
