,IncidentsTotal,SeverityScore,PercentOfVehicles,AvgAcceleration,LATITUDE,LONGITUDE,COUNT,INVAGE,RDSFCOND,VISIBILITY,LIGHT,TRAFFCTL,DRIVACT,DRIVCOND,VEHTYPE,TIME
0,8.0,0.022,0.069,0.421,43.593,-79.538,3,25 to 29,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",1647.3333333333333
1,8.0,0.022,0.069,0.421,43.593,-79.538,3,55 to 59,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",1647.3333333333333
2,8.0,0.022,0.069,0.421,43.593,-79.538,3,70 to 74,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1647.3333333333333
3,3.0,0.007,0.033,0.419,43.61,-79.561,2,unknown,Wet,Rain,Dark,Traffic Signal,<Null>,<Null>,"Automobile, Station Wagon",2022.0
4,3.0,0.002,0.047,0.309,43.613,-79.56,1,55 to 59,Dry,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1835.0
5,31.0,0.013,0.002,0.592,43.614,-79.546,1,20 to 24,Dry,Clear,Dark,No Control,Lost control,Had Been Drinking,"Automobile, Station Wagon",334.0
6,39.0,0.016,0.061,0.679,43.615,-79.552,1,30 to 34,Wet,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",2125.0
7,803.0,0.107,0.005,0.546,43.615,-79.55,1,40 to 44,Dry,Clear,Daylight,No Control,Improper Passing,Normal,"Automobile, Station Wagon",829.0
8,21.0,0.019,0.047,0.537,43.615,-79.524,2,20 to 24,Dry,Clear,Dark,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",1796.0
9,21.0,0.019,0.047,0.537,43.615,-79.524,2,20 to 24,Dry,Clear,Daylight,Traffic Signal,Lost control,Unknown,Motorcycle,1796.0
10,7.0,0.002,0.001,0.372,43.618,-79.524,3,40 to 44,Dry,Clear,Daylight,No Control,Improper Lane Change,Normal,"Automobile, Station Wagon",350.0
11,7.0,0.002,0.001,0.372,43.618,-79.524,3,45 to 49,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Inattentive,"Automobile, Station Wagon",350.0
12,21.0,0.016,0.048,0.537,43.618,-79.522,1,25 to 29,Wet,Rain,Daylight,No Control,Lost control,Normal,"Automobile, Station Wagon",915.0
13,21.0,0.016,0.048,0.537,43.618,-79.522,1,unknown,Wet,Rain,Daylight,No Control,Improper Lane Change,Unknown,"Automobile, Station Wagon",915.0
14,3.0,0.004,0.018,0.316,43.618,-79.511,3,30 to 34,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Unknown,"Automobile, Station Wagon",1868.6666666666667
15,3.0,0.004,0.018,0.316,43.618,-79.511,3,55 to 59,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",1868.6666666666667
16,3.0,0.004,0.018,0.316,43.618,-79.511,3,70 to 74,Wet,Rain,Daylight,Traffic Signal,Lost control,Medical or Physical Disability,"Automobile, Station Wagon",1868.6666666666667
17,191.0,0.015,0.002,0.607,43.619,-79.553,1,80 to 84,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,Passenger Van,1914.0
18,17.0,0.005,0.024,0.62,43.619,-79.525,1,35 to 39,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,"Automobile, Station Wagon",1057.0
19,157.0,0.049,0.042,0.312,43.62,-79.527,1,25 to 29,Dry,Clear,"Dark, artificial",No Control,Lost control,"Ability Impaired, Alcohol","Automobile, Station Wagon",147.0
20,20.0,0.027,0.019,0.413,43.62,-79.526,1,50 to 54,Dry,Clear,Dark,Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",2100.0
21,29.0,0.02,0.017,0.421,43.623,-79.514,2,20 to 24,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1770.5
22,29.0,0.02,0.017,0.421,43.623,-79.514,2,35 to 39,Dry,Clear,Dark,Traffic Signal,Lost control,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",1770.5
23,13.0,0.003,0.005,0.428,43.623,-79.499,1,20 to 24,Dry,Clear,"Dark, artificial",No Control,Improper Lane Change,Inattentive,"Automobile, Station Wagon",331.0
24,13.0,0.003,0.005,0.428,43.623,-79.499,1,30 to 34,Dry,Clear,"Dark, artificial",No Control,Exceeding Speed Limit,Normal,"Automobile, Station Wagon",331.0
25,6.0,0.009,0.161,0.526,43.626,-79.528,3,25 to 29,Dry,Clear,"Dark, artificial",No Control,Exceeding Speed Limit,Unknown,Motorcycle,942.3333333333334
26,6.0,0.009,0.161,0.526,43.626,-79.528,3,40 to 44,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",942.3333333333334
27,6.0,0.009,0.161,0.526,43.626,-79.528,3,45 to 49,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",942.3333333333334
28,5.0,0.007,0.022,0.415,43.626,-79.502,1,20 to 24,Dry,Clear,"Dark, artificial",Traffic Signal,Exceeding Speed Limit,Normal,"Automobile, Station Wagon",2206.0
29,5.0,0.007,0.022,0.415,43.626,-79.502,1,45 to 49,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",2206.0
30,95.0,0.012,0.018,1.196,43.626,-79.487,1,35 to 39,Dry,Clear,Daylight,No Control,Following too Close,Inattentive,"Automobile, Station Wagon",955.0
31,6.0,0.006,0.045,0.472,43.627,-79.562,2,15 to 19,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,<Null>,1091.5
32,6.0,0.006,0.045,0.472,43.627,-79.562,2,45 to 49,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1091.5
33,3.0,0.005,0.029,0.489,43.63,-79.484,2,40 to 44,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,Delivery Van,1847.0
34,3.0,0.004,0.045,0.377,43.631,-79.552,3,35 to 39,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",1485.0
35,3.0,0.004,0.045,0.377,43.631,-79.552,3,65 to 69,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",1485.0
36,3.0,0.004,0.045,0.377,43.631,-79.552,3,65 to 69,Wet,Rain,Dark,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1485.0
37,42.0,0.057,0.021,0.642,43.632,-79.433,1,25 to 29,Dry,Clear,Dark,No Control,Lost control,Normal,Motorcycle,2252.0
38,14.0,0.021,0.043,0.588,43.632,-79.432,1,45 to 49,Dry,Clear,Dark,No Control,Lost control,"Ability Impaired, Alcohol","Automobile, Station Wagon",319.0
39,5.0,0.002,0.046,0.547,43.633,-79.436,1,35 to 39,Dry,Clear,Daylight,No Control,Following too Close,Normal,"Automobile, Station Wagon",1620.0
40,50.0,0.005,0.024,0.483,43.633,-79.434,5,25 to 29,Wet,Rain,"Dark, artificial",Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",1623.75
41,50.0,0.005,0.024,0.483,43.633,-79.434,5,35 to 39,Dry,Clear,Daylight,No Control,Following too Close,Normal,"Automobile, Station Wagon",1623.75
