,IncidentsTotal,SeverityScore,LATITUDE,LONGITUDE,COUNT
0,8,0.022,43.593,-79.538,3
1,3,0.007,43.61,-79.561,2
2,8,0.009,43.612,-79.562,1
3,3,0.002,43.613,-79.56,1
4,31,0.013,43.614,-79.546,1
5,39,0.016,43.615,-79.552,1
6,803,0.107,43.615,-79.55,1
7,21,0.019,43.615,-79.524,2
8,7,0.002,43.618,-79.524,3
9,42,0.016,43.618,-79.522,1
10,3,0.004,43.618,-79.511,3
11,191,0.015,43.619,-79.553,1
12,17,0.005,43.619,-79.525,1
13,157,0.049,43.62,-79.527,1
14,20,0.027,43.62,-79.526,1
15,29,0.02,43.623,-79.514,2
16,13,0.003,43.623,-79.499,1
17,12,0.012,43.623,-79.481,1
18,6,0.009,43.626,-79.528,3
19,5,0.007,43.626,-79.502,1
20,95,0.012,43.626,-79.487,1
21,6,0.006,43.627,-79.562,2
22,15,0.053,43.629,-79.553,1
23,10,0.008,43.629,-79.49,1
24,3,0.005,43.63,-79.484,2
25,3,0.004,43.631,-79.552,3
26,31,0.019,43.631,-79.429,1
27,42,0.057,43.632,-79.433,1
28,14,0.021,43.632,-79.432,1
29,5,0.002,43.633,-79.436,1
30,50,0.005,43.633,-79.434,5
31,53,0.009,43.634,-79.472,1
32,58,0.008,43.634,-79.437,2
33,7,0.002,43.634,-79.425,1
34,76,0.011,43.635,-79.44,1
35,19,0.004,43.636,-79.468,1
36,18,0.018,43.636,-79.466,1
37,6,0.001,43.636,-79.443,1
38,8,0.002,43.636,-79.442,1
39,16,0.004,43.636,-79.441,1
40,3,0.005,43.636,-79.435,1
41,3,0.006,43.636,-79.409,1
42,10,0.02,43.636,-79.402,1
43,3,0.003,43.636,-79.4,1
44,3,0.005,43.637,-79.47,1
45,6,0.005,43.637,-79.436,1
46,22,0.015,43.637,-79.399,1
47,3,0.005,43.637,-79.397,2
48,7,0.017,43.637,-79.395,1
49,43,0.008,43.638,-79.4,1
50,3,0.007,43.639,-79.547,1
51,5,0.008,43.639,-79.451,1
52,106,0.01,43.639,-79.392,1
53,20,0.027,43.64,-79.454,1
54,4,0.007,43.64,-79.437,2
55,3,0.006,43.64,-79.411,2
56,3,0.006,43.641,-79.428,1
57,13,0.016,43.641,-79.401,2
58,61,0.022,43.641,-79.393,1
59,43,0.016,43.641,-79.38,2
60,32,0.044,43.642,-79.429,1
61,3,0.005,43.642,-79.383,2
62,81,0.014,43.642,-79.381,1
63,34,0.017,43.642,-79.377,6
64,13,0.03,43.643,-79.573,1
65,8,0.021,43.643,-79.455,1
66,8,0.010499999999999999,43.643,-79.402,1
67,59,0.011,43.643,-79.378,1
68,13,0.041,43.644,-79.456,1
69,3,0.003,43.644,-79.4,2
70,15,0.019,43.644,-79.394,1
71,12,0.041,43.644,-79.382,1
72,25,0.011,43.644,-79.378,1
73,26,0.016,43.644,-79.375,6
74,3,0.004,43.645,-79.523,2
75,20,0.014,43.645,-79.403,3
76,7,0.01,43.645,-79.392,1
77,9,0.008,43.645,-79.383,1
78,10,0.034,43.645,-79.365,1
79,3,0.004,43.646,-79.43,1
80,6,0.007,43.646,-79.392,1
81,210,0.0205,43.646,-79.37,1
82,115,0.031,43.646,-79.367,1
83,3,0.004,43.647,-79.524,1
84,3,0.006,43.647,-79.511,3
85,8,0.012,43.647,-79.404,1
86,10,0.007,43.647,-79.395,2
87,24,0.023,43.647,-79.384,4
88,21,0.019,43.647,-79.377,6
89,15,0.003,43.648,-79.564,1
90,6,0.008,43.648,-79.485,3
91,17,0.023,43.648,-79.404,3
92,29,0.02,43.648,-79.396,2
93,44,0.028,43.648,-79.385,6
94,12,0.01,43.648,-79.38,4
95,22,0.015,43.648,-79.377,1
96,18,0.021,43.648,-79.371,4
97,199,0.019,43.648,-79.361,1
98,44,0.019,43.648,-79.355,1
99,14,0.012,43.648,-79.354,3
100,9,0.034,43.649,-79.528,1
101,6,0.005,43.649,-79.431,5
102,3,0.005,43.649,-79.425,1
103,3,0.004,43.649,-79.396,1
104,10,0.009,43.649,-79.391,1
105,3,0.006,43.649,-79.384,1
106,12,0.007,43.649,-79.371,1
107,124,0.022,43.649,-79.356,3
108,15,0.005,43.649,-79.352,1
109,8,0.011,43.65,-79.44,1
110,12,0.0095,43.65,-79.389,2
111,6,0.01,43.65,-79.388,2
112,3,0.007,43.65,-79.38,1
113,4,0.021,43.65,-79.347,1
114,124,0.039,43.651,-79.386,1
115,16,0.014,43.651,-79.385,1
116,9,0.021,43.651,-79.381,5
117,3,0.004,43.651,-79.378,2
118,3,0.005,43.651,-79.375,2
119,12,0.019,43.651,-79.372,1
120,8,0.011,43.651,-79.368,1
121,7,0.011,43.651,-79.362,3
122,27,0.076,43.652,-79.485,1
123,3,0.006,43.652,-79.448,1
124,17,0.01,43.652,-79.406,2
125,6,0.013,43.652,-79.398,1
126,15,0.014,43.652,-79.382,1
127,25,0.019,43.652,-79.379,1
128,9,0.014,43.652,-79.378,2
129,27,0.017,43.652,-79.375,1
130,14,0.009,43.652,-79.372,3
131,5,0.008,43.652,-79.363,4
132,3,0.011,43.653,-79.379,1
133,26,0.019,43.653,-79.373,3
134,6,0.005,43.654,-79.379,2
135,18,0.022,43.654,-79.363,2
136,39,0.02,43.655,-79.388,3
137,20,0.026,43.655,-79.383,3
138,15,0.013,43.655,-79.374,1
139,63,0.046,43.656,-79.452,10
140,3,0.003,43.656,-79.399,3
141,16,0.018,43.656,-79.388,3
142,21,0.015,43.656,-79.381,2
143,3,0.005,43.656,-79.38,2
144,12,0.004,43.656,-79.352,1
145,3,0.001,43.656,-79.351,1
146,8,0.023,43.657,-79.447,2
147,6,0.009,43.657,-79.403,1
148,6,0.009,43.657,-79.381,3
149,12,0.01,43.657,-79.374,4
150,3,0.006,43.657,-79.355,1
151,3,0.001,43.657,-79.353,1
152,3,0.004,43.658,-79.488,1
153,15,0.013,43.658,-79.4,1
154,31,0.021,43.658,-79.389,2
155,6,0.004,43.658,-79.386,2
156,9,0.011,43.658,-79.385,1
157,3,0.008,43.659,-79.513,1
158,16,0.016,43.659,-79.39,4
159,10,0.013,43.659,-79.385,1
160,10,0.014,43.659,-79.382,4
161,3,0.009,43.659,-79.381,1
162,4,0.011,43.659,-79.366,2
163,9,0.012,43.659,-79.328,2
164,4,0.004,43.66,-79.378,1
165,3,0.008,43.661,-79.429,2
166,6,0.007,43.661,-79.383,2
167,11,0.036,43.661,-79.372,1
168,3,0.004,43.661,-79.358,2
169,4,0.011,43.662,-79.425,2
170,7,0.014,43.662,-79.386,3
171,11,0.08,43.663,-79.402,4
172,3,0.006,43.663,-79.384,4
173,9,0.018,43.664,-79.464,1
174,4,0.003,43.664,-79.458,1
175,8,0.014,43.664,-79.384,1
176,3,0.004,43.665,-79.464,3
177,3,0.008,43.665,-79.446,1
178,11,0.004,43.665,-79.356,1
179,21,0.021,43.666,-79.499,2
180,17,0.026,43.666,-79.378,4
181,6,0.017,43.666,-79.316,3
182,3,0.005,43.667,-79.438,1
183,6,0.012,43.667,-79.404,1
184,3,0.004,43.667,-79.4,1
185,5,0.006,43.667,-79.378,2
186,3,0.004,43.667,-79.342,3
187,6,0.008,43.667,-79.312,5
188,5,0.01,43.668,-79.485,1
189,4,0.006,43.668,-79.44,1
190,4,0.03,43.668,-79.386,1
191,3,0.005,43.668,-79.34,1
192,57,0.003,43.669,-79.591,2
193,8,0.001,43.669,-79.574,1
194,12,0.015,43.669,-79.466,2
195,4,0.005,43.669,-79.436,1
196,7,0.016,43.669,-79.389,1
197,3,0.006,43.669,-79.382,1
198,9,0.011,43.67,-79.433,1
199,3,0.006,43.67,-79.428,3
200,18,0.012,43.67,-79.389,1
201,6,0.01,43.671,-79.474,1
202,18,0.041,43.671,-79.471,1
203,13,0.025,43.671,-79.449,1
204,4,0.01,43.671,-79.44,1
205,16,0.0115,43.671,-79.39,3
206,7,0.006,43.671,-79.382,2
207,3,0.008,43.672,-79.593,1
208,4,0.004,43.672,-79.467,2
209,5,0.007,43.673,-79.463,5
210,12,0.015,43.673,-79.414,5
211,13,0.009,43.673,-79.388,2
212,3,0.003,43.673,-79.384,1
213,7,0.019,43.673,-79.319,2
214,20,0.015,43.674,-79.564,1
215,10,0.016,43.674,-79.463,1
216,4,0.01,43.674,-79.428,1
217,3,0.009,43.674,-79.422,1
218,6,0.008,43.674,-79.396,1
219,21,0.042,43.674,-79.392,2
220,3,0.005,43.675,-79.407,4
221,6,0.015,43.675,-79.396,1
222,3,0.008,43.676,-79.495,4
223,17,0.021,43.676,-79.361,1
224,12,0.012,43.677,-79.55,2
225,5,0.031,43.677,-79.446,2
226,18,0.035,43.677,-79.443,6
227,11,0.02,43.677,-79.397,1
228,3,0.008,43.678,-79.551,3
229,8,0.015,43.678,-79.496,1
230,55,0.039,43.678,-79.443,1
231,3,0.007,43.678,-79.405,1
232,3,0.008,43.678,-79.301,1
233,3,0.005,43.679,-79.465,3
234,12,0.006500000000000001,43.679,-79.345,1
235,5,0.022,43.68,-79.497,2
236,25,0.018,43.681,-79.476,7
237,4,0.013,43.681,-79.417,3
238,5,0.011,43.681,-79.391,2
239,7,0.004,43.681,-79.362,3
240,3,0.004,43.681,-79.332,2
241,13,0.012,43.681,-79.311,1
242,11,0.015,43.682,-79.477,1
243,3,0.005,43.683,-79.498,1
244,17,0.015,43.683,-79.48,1
245,31,0.014,43.683,-79.418,2
246,3,0.009,43.684,-79.483,1
247,9,0.014,43.685,-79.499,1
248,30,0.046,43.685,-79.446,2
249,3,0.02,43.686,-79.492,1
250,23,0.017,43.686,-79.401,2
251,3,0.007,43.686,-79.393,1
252,6,0.007,43.686,-79.313,1
253,3,0.006,43.687,-79.286,2
254,4,0.004,43.687,-79.271,1
255,6,0.025,43.688,-79.447,2
256,3,0.003,43.688,-79.394,2
257,37,0.055,43.688,-79.301,4
258,134,0.257,43.689,-79.447,2
259,10,0.014,43.689,-79.394,2
260,57,0.047,43.69,-79.577,3
261,18,0.011,43.69,-79.475,1
262,5,0.014,43.69,-79.448,2
263,3,0.001,43.691,-79.57,7
264,49,0.010499999999999999,43.692,-79.571,1
265,16,0.048,43.692,-79.44,3
266,10,0.02,43.692,-79.283,1
267,32,0.045,43.693,-79.462,1
268,3,0.008,43.693,-79.449,1
269,10,0.018,43.693,-79.422,3
270,14,0.012,43.694,-79.486,4
271,3,0.009,43.694,-79.328,1
272,4,0.005,43.696,-79.546,3
273,8,0.015,43.696,-79.475,1
274,6,0.01,43.696,-79.45,2
275,8,0.03,43.696,-79.447,2
276,57,0.02,43.696,-79.353,1
277,11,0.02,43.697,-79.573,1
