,LATITUDE,LONGITUDE,INVAGE,RDSFCOND,VISIBILITY,LIGHT,TRAFFCTL,DRIVACT,DRIVCOND,VEHTYPE,TIME,AvgAcceleration,PercentCar,PercentHDT,PercentLDT,PercentMDT,PercentMPV,PercentOfVehicles,PercentOther,COUNT
0,43.592,-79.542,20 to 24,Wet,"Fog, Mist, Smoke, Dust","Dark, artificial",No Control,Lost control,Had Been Drinking,Delivery Van,40.0,0.316,0.008,0.341,0.212,0.039,0.305,0.064,0.094,1
1,43.592,-79.541,15 to 19,Dry,Clear,Dark,No Control,Improper Turn,Normal,"Automobile, Station Wagon",46.0,0.232,0.01,0.186,0.226,0.032,0.449,0.026,0.099,1
2,43.592,-79.534,35 to 39,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1252.0,0.298,0.007,0.246,0.196,0.026,0.37,0.036,0.155,1
3,43.593,-79.541,40 to 44,Wet,Clear,"Dark, artificial",No Control,Speed too Fast For Condition,Unknown,"Automobile, Station Wagon",520.0,0.427,0.024,0.175,0.369,0.063,0.222,0.029,0.146,1
4,43.593,-79.538,25 to 29,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",1647.3333333333333,0.421,0.019,0.188,0.264,0.104,0.344,0.069,0.081,3
5,43.593,-79.538,55 to 59,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",1647.3333333333333,0.421,0.019,0.188,0.264,0.104,0.344,0.069,0.081,3
6,43.593,-79.538,70 to 74,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1647.3333333333333,0.421,0.019,0.188,0.264,0.104,0.344,0.069,0.081,3
7,43.593,-79.537,20 to 24,Dry,Clear,"Dark, artificial",No Control,Speed too Fast For Condition,Had Been Drinking,"Automobile, Station Wagon",145.0,0.278,0.003,0.259,0.254,0.111,0.292,0.024,0.081,1
8,43.594,-79.534,25 to 29,Wet,Clear,"Dark, artificial",No Control,Lost control,Inattentive,Motorcycle,1163.0,0.472,0.023,0.198,0.362,0.058,0.24,0.06,0.119,2
9,43.594,-79.534,60 to 64,Wet,Rain,Dark,No Control,Lost control,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",1163.0,0.472,0.023,0.198,0.362,0.058,0.24,0.06,0.119,2
10,43.594,-79.533,40 to 44,Dry,Clear,Dark,Traffic Signal,Exceeding Speed Limit,Had Been Drinking,"Automobile, Station Wagon",1105.0,0.369,0.014,0.21,0.341,0.038,0.307,0.051,0.09,3
11,43.594,-79.533,55 to 59,Dry,Clear,Dusk,Traffic Signal,Failed to Yield Right of Way,Unknown,"Automobile, Station Wagon",1105.0,0.369,0.014,0.21,0.341,0.038,0.307,0.051,0.09,3
12,43.595,-79.528,35 to 39,Dry,Clear,"Dark, artificial",No Control,Lost control,Unknown,"Automobile, Station Wagon",1949.0,0.298,0.013,0.373,0.167,0.031,0.308,0.08,0.108,1
13,43.597,-79.522,20 to 24,Dry,Clear,Daylight,No Control,Other,Inattentive,"Automobile, Station Wagon",600.0,0.561,0.029,0.235,0.326,0.052,0.264,0.044,0.094,1
14,43.598,-79.516,20 to 24,Dry,Clear,"Dark, artificial",Traffic Signal,Following too Close,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",2205.0,0.302,0.025,0.212,0.249,0.049,0.301,0.021,0.166,3
15,43.599,-79.521,85 to 89,Dry,Clear,Daylight,Pedestrian Crossover,Lost control,Unknown,"Automobile, Station Wagon",1033.0,0.492,0.003,0.234,0.343,0.02,0.265,0.059,0.135,1
16,43.599,-79.517,25 to 29,Dry,Clear,Dark,No Control,Lost control,Medical or Physical Disability,"Automobile, Station Wagon",2035.0,0.682,0.022,0.146,0.307,0.055,0.39,0.025,0.08,1
17,43.599,-79.512,20 to 24,<Null>,<Null>,Dark,No Control,Improper Lane Change,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",2237.0,0.546,0.012,0.254,0.316,0.077,0.238,0.034,0.103,1
18,43.599,-79.508,40 to 44,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,Pick Up Truck,1850.0,0.607,0.044,0.377,0.183,0.059,0.286,0.059,0.05,1
19,43.6,-79.517,50 to 54,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1431.0,0.526,0.0,0.376,0.126,0.048,0.373,0.046,0.078,1
20,43.6,-79.507,75 to 79,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1154.0,0.5,0.021,0.262,0.293,0.068,0.267,0.022,0.088,1
21,43.6,-79.506,45 to 49,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1236.0,0.423,0.0,0.22,0.254,0.113,0.328,0.025,0.085,1
22,43.6,-79.504,60 to 64,Dry,Clear,Dark,No Control,Lost control,Medical or Physical Disability,"Automobile, Station Wagon",20.0,0.658,0.009,0.183,0.297,0.07,0.31,0.059,0.132,2
23,43.601,-79.545,30 to 34,Wet,Clear,"Dark, artificial",Traffic Signal,Lost control,"Ability Impaired, Alcohol","Automobile, Station Wagon",482.3333333333333,0.634,0.016,0.276,0.251,0.151,0.167,0.039,0.138,3
24,43.601,-79.545,50 to 54,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",482.3333333333333,0.634,0.016,0.276,0.251,0.151,0.167,0.039,0.138,3
25,43.601,-79.545,50 to 54,Wet,Rain,Dark,Traffic Signal,Following too Close,"Ability Impaired, Alcohol","Automobile, Station Wagon",482.3333333333333,0.634,0.016,0.276,0.251,0.151,0.167,0.039,0.138,3
26,43.601,-79.507,40 to 44,Dry,Clear,Dark,No Control,Other,Unknown,"Automobile, Station Wagon",2301.0,0.656,0.002,0.149,0.432,0.087,0.23,0.068,0.1,1
27,43.601,-79.502,60 to 64,Dry,Clear,Daylight,Traffic Signal,Other,Unknown,"Automobile, Station Wagon",1415.0,0.424,0.014,0.199,0.375,0.071,0.233,0.031,0.108,2
28,43.601,-79.501,30 to 34,Dry,Clear,"Dark, artificial",No Control,Improper Turn,Normal,"Automobile, Station Wagon",2110.0,0.429,0.01,0.251,0.302,0.04,0.318,0.02,0.078,1
29,43.602,-79.545,80 to 84,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1039.0,0.454,0.014,0.254,0.311,0.135,0.162,0.067,0.124,1
30,43.602,-79.543,90 to 94,Dry,Clear,Daylight,No Control,Lost control,Had Been Drinking,"Automobile, Station Wagon",1603.0,0.429,0.025,0.245,0.309,0.046,0.178,0.046,0.197,1
31,43.602,-79.54,55 to 59,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",700.0,0.385,0.0,0.206,0.124,0.016,0.57,0.029,0.085,1
32,43.602,-79.511,55 to 59,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1610.0,0.53,0.013,0.173,0.327,0.061,0.335,0.043,0.091,1
33,43.602,-79.51,55 to 59,Dry,Clear,Daylight,No Control,Lost control,Medical or Physical Disability,"Automobile, Station Wagon",1607.5,0.363,0.007,0.155,0.283,0.056,0.405,0.052,0.094,2
34,43.602,-79.51,60 to 64,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1607.5,0.363,0.007,0.155,0.283,0.056,0.405,0.052,0.094,2
35,43.602,-79.499,unknown,Dry,Clear,Daylight,No Control,<Null>,<Null>,"Automobile, Station Wagon",1827.0,0.529,0.025,0.16,0.433,0.054,0.248,0.033,0.08,1
36,43.602,-79.497,40 to 44,Dry,Clear,Daylight,Stop Sign,Improper Turn,Normal,"Automobile, Station Wagon",1822.0,0.594,0.01,0.226,0.254,0.049,0.39,0.074,0.072,2
37,43.603,-79.554,20 to 24,Dry,Clear,Dark,No Control,Other,Had Been Drinking,"Automobile, Station Wagon",6.0,0.413,0.006,0.262,0.251,0.058,0.348,0.043,0.074,1
38,43.603,-79.506,30 to 34,Wet,Clear,Daylight,Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",1345.0,0.34,0.015,0.223,0.342,0.083,0.21,0.028,0.127,2
39,43.603,-79.503,40 to 44,Dry,Clear,Daylight,No Control,Lost control,Normal,Motorcycle,1900.0,0.553,0.0,0.162,0.482,0.045,0.269,0.04,0.042,1
40,43.603,-79.493,30 to 34,Dry,Clear,"Dark, artificial",No Control,Speed too Fast For Condition,Unknown,Pick Up Truck,1120.0,0.582,0.014,0.079,0.205,0.031,0.559,0.076,0.111,2
41,43.603,-79.493,50 to 54,Dry,Clear,"Dark, artificial",No Control,Lost control,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",1120.0,0.582,0.014,0.079,0.205,0.031,0.559,0.076,0.111,2
42,43.604,-79.533,40 to 44,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,Pick Up Truck,1710.0,0.751,0.005,0.107,0.496,0.037,0.278,0.127,0.078,1
43,43.604,-79.519,15 to 19,Loose Snow,Clear,Dark,No Control,Following too Close,Normal,"Automobile, Station Wagon",1719.8,0.679,0.013,0.237,0.386,0.071,0.143,0.073,0.15,3
44,43.604,-79.519,20 to 24,Dry,Clear,Daylight,No Control,Other,Normal,"Automobile, Station Wagon",1719.8,0.679,0.013,0.237,0.386,0.071,0.143,0.073,0.15,3
45,43.604,-79.519,20 to 24,Loose Snow,Clear,Dark,No Control,Lost control,Normal,"Automobile, Station Wagon",1719.8,0.679,0.013,0.237,0.386,0.071,0.143,0.073,0.15,3
46,43.604,-79.519,30 to 34,Dry,Clear,"Dark, artificial",No Control,Failed to Yield Right of Way,Had Been Drinking,Pick Up Truck,1719.8,0.679,0.013,0.237,0.386,0.071,0.143,0.073,0.15,3
47,43.604,-79.519,40 to 44,Loose Snow,Clear,Dark,No Control,Lost control,Inattentive,"Automobile, Station Wagon",1719.8,0.679,0.013,0.237,0.386,0.071,0.143,0.073,0.15,3
48,43.605,-79.547,50 to 54,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",2209.0,0.365,0.017,0.255,0.27,0.148,0.2,0.015,0.11,1
49,43.605,-79.494,75 to 79,Wet,Rain,Daylight,Stop Sign,Lost control,Normal,"Automobile, Station Wagon",843.0,0.524,0.025,0.215,0.455,0.055,0.173,0.019,0.077,1
50,43.605,-79.493,unknown,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Unknown,Motorcycle,1700.0,0.673,0.009,0.394,0.174,0.099,0.304,0.08,0.02,1
51,43.605,-79.491,45 to 49,Wet,Rain,Daylight,No Control,Other,Had Been Drinking,"Automobile, Station Wagon",1310.0,0.416,0.023,0.257,0.364,0.064,0.19,0.002,0.103,1
52,43.605,-79.491,60 to 64,Wet,Rain,Daylight,No Control,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1310.0,0.416,0.023,0.257,0.364,0.064,0.19,0.002,0.103,1
53,43.606,-79.547,55 to 59,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Normal,"Automobile, Station Wagon",1300.0,0.374,0.015,0.282,0.258,0.142,0.181,0.018,0.123,2
54,43.606,-79.49,50 to 54,Dry,Clear,Daylight,No Control,Lost control,Unknown,"Automobile, Station Wagon",1855.0,0.0,0.014,0.667,0.069,0.028,0.042,0.0,0.181,1
55,43.607,-79.49,30 to 34,Dry,Clear,Dark,No Control,Exceeding Speed Limit,Unknown,"Automobile, Station Wagon",205.0,0.514,0.013,0.375,0.288,0.067,0.179,0.064,0.078,1
56,43.608,-79.556,65 to 69,Dry,Clear,Dark,Traffic Signal,Improper Turn,Inattentive,"Automobile, Station Wagon",1940.0,0.312,0.022,0.36,0.282,0.068,0.137,0.001,0.13,1
57,43.608,-79.49,20 to 24,Dry,Clear,"Dark, artificial",No Control,Lost control,Had Been Drinking,"Automobile, Station Wagon",240.0,0.478,0.016,0.278,0.304,0.069,0.233,0.046,0.101,1
58,43.609,-79.49,20 to 24,Dry,Clear,Daylight,No Control,<Null>,<Null>,"Automobile, Station Wagon",1325.0,0.68,0.019,0.23,0.346,0.06,0.205,0.016,0.14,1
59,43.609,-79.49,50 to 54,Dry,Clear,Daylight,No Control,<Null>,<Null>,"Automobile, Station Wagon",1325.0,0.68,0.019,0.23,0.346,0.06,0.205,0.016,0.14,1
60,43.61,-79.561,unknown,Wet,Rain,Dark,Traffic Signal,<Null>,<Null>,"Automobile, Station Wagon",2022.0,0.419,0.028,0.252,0.393,0.059,0.108,0.033,0.16,2
61,43.61,-79.537,55 to 59,Ice,Snow,Daylight,Stop Sign,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",830.0,0.161,0.002,0.211,0.414,0.111,0.186,0.007,0.075,1
62,43.61,-79.495,50 to 54,Dry,Clear,Daylight,Stop Sign,Lost control,Unknown,"Automobile, Station Wagon",1180.0,0.455,0.014,0.188,0.389,0.05,0.288,0.083,0.071,2
63,43.61,-79.495,65 to 69,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1180.0,0.455,0.014,0.188,0.389,0.05,0.288,0.083,0.071,2
64,43.61,-79.488,20 to 24,Dry,Clear,Daylight,No Control,Lost control,Normal,Motorcycle,1521.0,0.411,0.0,0.011,0.301,0.053,0.588,0.087,0.047,1
65,43.611,-79.543,75 to 79,Loose Snow,Clear,Dark,No Control,<Null>,<Null>,"Automobile, Station Wagon",2119.0,0.356,0.0,0.425,0.158,0.025,0.305,0.084,0.087,1
66,43.612,-79.515,25 to 29,Dry,Clear,Dark,Stop Sign,Lost control,"Ability Impaired, Alcohol Over .08","Automobile, Station Wagon",149.0,0.502,0.014,0.327,0.336,0.065,0.144,0.084,0.114,1
67,43.612,-79.491,unknown,Wet,Rain,Dark,Stop Sign,Other,Unknown,"Automobile, Station Wagon",200.0,0.483,0.022,0.286,0.259,0.067,0.338,0.051,0.028,1
68,43.613,-79.56,55 to 59,Dry,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1835.0,0.309,0.088,0.205,0.384,0.029,0.153,0.047,0.142,1
69,43.613,-79.551,20 to 24,Dry,Clear,Dark,No Control,Lost control,Normal,Motorcycle,340.0,0.883,0.028,0.335,0.286,0.065,0.138,0.006,0.148,1
70,43.614,-79.556,15 to 19,Dry,Clear,Dark,Traffic Signal,Improper Turn,Normal,"Automobile, Station Wagon",1840.25,0.511,0.029,0.27,0.336,0.052,0.198,0.069,0.115,4
71,43.614,-79.556,15 to 19,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",1840.25,0.511,0.029,0.27,0.336,0.052,0.198,0.069,0.115,4
72,43.614,-79.556,50 to 54,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Unknown,"Automobile, Station Wagon",1840.25,0.511,0.029,0.27,0.336,0.052,0.198,0.069,0.115,4
73,43.614,-79.556,55 to 59,Wet,Rain,Dark,Traffic Signal,Failed to Yield Right of Way,Inattentive,Truck-Tractor,1840.25,0.511,0.029,0.27,0.336,0.052,0.198,0.069,0.115,4
74,43.614,-79.555,20 to 24,Dry,Clear,Dark,No Control,Improper Turn,Inattentive,"Automobile, Station Wagon",2039.0,0.451,0.04,0.166,0.311,0.058,0.327,0.074,0.097,1
75,43.614,-79.555,25 to 29,Dry,Clear,Dark,No Control,Exceeding Speed Limit,Inattentive,Motorcycle,2039.0,0.451,0.04,0.166,0.311,0.058,0.327,0.074,0.097,1
76,43.614,-79.554,30 to 34,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Unknown,Motorcycle,707.0,0.421,0.217,0.144,0.244,0.042,0.282,0.148,0.072,1
77,43.614,-79.546,20 to 24,Dry,Clear,Dark,No Control,Lost control,Had Been Drinking,"Automobile, Station Wagon",334.0,0.592,0.031,0.224,0.358,0.1,0.17,0.002,0.118,1
78,43.614,-79.517,50 to 54,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1602.0,0.424,0.051,0.292,0.363,0.035,0.152,0.013,0.107,1
79,43.614,-79.489,55 to 59,Wet,Clear,Daylight,No Control,Improper Turn,Unknown,"Automobile, Station Wagon",806.0,0.439,0.02,0.241,0.354,0.068,0.215,0.028,0.102,1
80,43.615,-79.552,30 to 34,Wet,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Normal,"Automobile, Station Wagon",2125.0,0.679,0.021,0.365,0.239,0.098,0.136,0.061,0.141,1
81,43.615,-79.55,40 to 44,Dry,Clear,Daylight,No Control,Improper Passing,Normal,"Automobile, Station Wagon",829.0,0.546,0.02,0.326,0.24,0.133,0.134,0.005,0.147,1
82,43.615,-79.536,20 to 24,Dry,Clear,Dark,No Control,Other,Had Been Drinking,"Automobile, Station Wagon",314.0,0.358,0.001,0.088,0.488,0.027,0.336,0.127,0.059,1
83,43.615,-79.535,75 to 79,Wet,Rain,"Dark, artificial",No Control,Speed too Fast For Condition,Inattentive,"Automobile, Station Wagon",10.0,0.47,0.003,0.128,0.32,0.071,0.368,0.12,0.11,1
84,43.615,-79.524,20 to 24,Dry,Clear,Dark,Traffic Signal,Disobeyed Traffic Control,Normal,"Automobile, Station Wagon",1796.0,0.537,0.014,0.243,0.37,0.092,0.146,0.047,0.135,2
85,43.615,-79.524,20 to 24,Dry,Clear,Daylight,Traffic Signal,Lost control,Unknown,Motorcycle,1796.0,0.537,0.014,0.243,0.37,0.092,0.146,0.047,0.135,2
86,43.615,-79.5,30 to 34,Dry,Clear,"Dawn, artificial",No Control,Speed too Fast For Condition,Inattentive,"Automobile, Station Wagon",710.0,0.482,0.021,0.295,0.201,0.01,0.218,0.02,0.255,1
87,43.616,-79.557,25 to 29,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,"Automobile, Station Wagon",1444.0,0.572,0.018,0.336,0.234,0.08,0.174,0.055,0.158,1
88,43.616,-79.546,25 to 29,Loose Snow,Snow,Daylight,Traffic Signal,Speed too Fast For Condition,Normal,"Automobile, Station Wagon",1305.0,0.591,0.008,0.254,0.236,0.16,0.163,0.034,0.18,1
89,43.616,-79.534,unknown,Dry,Clear,Dark,No Control,Following too Close,Unknown,"Automobile, Station Wagon",2110.0,0.555,0.013,0.201,0.374,0.048,0.274,0.051,0.09,1
90,43.616,-79.533,20 to 24,Dry,Clear,Dark,No Control,Improper Lane Change,Normal,"Automobile, Station Wagon",1662.5,0.41,0.012,0.252,0.289,0.072,0.202,0.052,0.172,2
91,43.616,-79.533,50 to 54,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Normal,Truck - Dump,1662.5,0.41,0.012,0.252,0.289,0.072,0.202,0.052,0.172,2
92,43.616,-79.531,25 to 29,Dry,Clear,"Dark, artificial",No Control,Wrong Way on One Way Road,"Ability Impaired, Alcohol","Automobile, Station Wagon",227.0,0.273,0.005,0.266,0.078,0.02,0.213,0.051,0.419,1
93,43.616,-79.498,45 to 49,Dry,Clear,Dusk,No Control,Failed to Yield Right of Way,Inattentive,Truck - Tank,1643.0,0.462,0.033,0.089,0.551,0.048,0.165,0.022,0.115,1
94,43.617,-79.529,25 to 29,Loose Snow,Snow,Dark,No Control,Lost control,Unknown,"Automobile, Station Wagon",245.0,0.294,0.111,0.22,0.357,0.058,0.144,0.004,0.11,1
