,LATITUDE,LONGITUDE,COUNT
0,43.59,-79.526,1
1,43.592,-79.542,1
2,43.592,-79.541,1
3,43.592,-79.534,1
4,43.593,-79.541,1
5,43.593,-79.538,3
6,43.593,-79.537,1
7,43.594,-79.534,2
8,43.594,-79.533,3
9,43.594,-79.531,1
10,43.595,-79.528,1
11,43.597,-79.522,1
12,43.598,-79.517,1
13,43.598,-79.516,3
14,43.599,-79.544,1
15,43.599,-79.525,1
16,43.599,-79.521,1
17,43.599,-79.517,1
18,43.599,-79.512,1
19,43.599,-79.508,1
20,43.6,-79.519,1
21,43.6,-79.517,1
22,43.6,-79.507,1
23,43.6,-79.506,1
24,43.6,-79.504,2
25,43.601,-79.545,3
26,43.601,-79.516,1
27,43.601,-79.507,1
28,43.601,-79.502,2
29,43.601,-79.501,1
30,43.602,-79.545,1
31,43.602,-79.543,1
32,43.602,-79.54,1
33,43.602,-79.511,1
34,43.602,-79.51,2
35,43.602,-79.499,1
36,43.602,-79.497,2
37,43.603,-79.554,1
38,43.603,-79.546,1
39,43.603,-79.538,1
40,43.603,-79.506,2
41,43.603,-79.503,1
42,43.603,-79.493,2
43,43.604,-79.533,1
44,43.604,-79.531,1
45,43.604,-79.519,3
46,43.605,-79.547,1
47,43.605,-79.494,1
48,43.605,-79.493,1
49,43.605,-79.491,1
50,43.606,-79.547,2
51,43.606,-79.49,1
52,43.607,-79.49,1
53,43.608,-79.556,1
54,43.608,-79.49,1
55,43.609,-79.49,1
56,43.61,-79.561,2
57,43.61,-79.537,1
58,43.61,-79.495,2
59,43.61,-79.488,1
60,43.611,-79.543,1
61,43.611,-79.489,1
62,43.612,-79.562,1
63,43.612,-79.515,1
64,43.612,-79.496,1
65,43.612,-79.491,1
66,43.613,-79.56,1
67,43.613,-79.551,1
68,43.614,-79.556,4
69,43.614,-79.555,1
70,43.614,-79.554,1
71,43.614,-79.546,1
72,43.614,-79.523,1
73,43.614,-79.517,1
74,43.614,-79.494,1
75,43.614,-79.492,1
76,43.614,-79.489,1
77,43.615,-79.552,1
78,43.615,-79.55,1
79,43.615,-79.536,1
80,43.615,-79.535,1
81,43.615,-79.524,2
82,43.615,-79.5,1
83,43.615,-79.498,1
84,43.615,-79.49,1
85,43.616,-79.557,1
86,43.616,-79.546,1
87,43.616,-79.534,1
88,43.616,-79.533,2
89,43.616,-79.531,1
90,43.616,-79.518,1
91,43.616,-79.498,1
92,43.617,-79.541,1
93,43.617,-79.529,1
94,43.617,-79.526,1
95,43.617,-79.524,1
