,LATITUDE,LONGITUDE,INVAGE,RDSFCOND,VISIBILITY,LIGHT,TRAFFCTL,DRIVACT,DRIVCOND,TIME
0,43.592,-79.542,20 to 24,Wet,"Fog, Mist, Smoke, Dust","Dark, artificial",No Control,Lost control,Had Been Drinking,40.0
1,43.592,-79.541,15 to 19,Dry,Clear,Dark,No Control,Improper Turn,Normal,46.0
2,43.592,-79.534,35 to 39,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,1252.0
3,43.593,-79.541,40 to 44,Wet,Clear,"Dark, artificial",No Control,Speed too Fast For Condition,Unknown,520.0
4,43.593,-79.538,25 to 29,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,1647.3333333333333
5,43.593,-79.538,55 to 59,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Inattentive,1647.3333333333333
6,43.593,-79.538,70 to 74,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,1647.3333333333333
7,43.593,-79.537,20 to 24,Dry,Clear,"Dark, artificial",No Control,Speed too Fast For Condition,Had Been Drinking,145.0
8,43.594,-79.534,25 to 29,Wet,Clear,"Dark, artificial",No Control,Lost control,Inattentive,1163.0
9,43.594,-79.534,60 to 64,Wet,Rain,Dark,No Control,Lost control,"Ability Impaired, Alcohol Over .08",1163.0
10,43.594,-79.533,40 to 44,Dry,Clear,Dark,Traffic Signal,Exceeding Speed Limit,Had Been Drinking,1105.0
11,43.594,-79.533,55 to 59,Dry,Clear,Dusk,Traffic Signal,Failed to Yield Right of Way,Unknown,1105.0
12,43.594,-79.531,60 to 64,Dry,Clear,Daylight,No Control,Lost control,Normal,1725.0
13,43.595,-79.528,35 to 39,Dry,Clear,"Dark, artificial",No Control,Lost control,Unknown,1949.0
14,43.597,-79.522,20 to 24,Dry,Clear,Daylight,No Control,Other,Inattentive,600.0
15,43.598,-79.516,20 to 24,Dry,Clear,"Dark, artificial",Traffic Signal,Following too Close,"Ability Impaired, Alcohol Over .08",2205.0
16,43.599,-79.521,85 to 89,Dry,Clear,Daylight,Pedestrian Crossover,Lost control,Unknown,1033.0
17,43.599,-79.517,25 to 29,Dry,Clear,Dark,No Control,Lost control,Medical or Physical Disability,2035.0
18,43.599,-79.512,20 to 24,<Null>,<Null>,Dark,No Control,Improper Lane Change,"Ability Impaired, Alcohol Over .08",2237.0
19,43.599,-79.508,40 to 44,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,1850.0
20,43.6,-79.517,50 to 54,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1431.0
21,43.6,-79.507,75 to 79,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,1154.0
22,43.6,-79.506,45 to 49,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,1236.0
23,43.6,-79.504,60 to 64,Dry,Clear,Dark,No Control,Lost control,Medical or Physical Disability,20.0
24,43.601,-79.545,30 to 34,Wet,Clear,"Dark, artificial",Traffic Signal,Lost control,"Ability Impaired, Alcohol",482.3333333333333
25,43.601,-79.545,50 to 54,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,482.3333333333333
26,43.601,-79.545,50 to 54,Wet,Rain,Dark,Traffic Signal,Following too Close,"Ability Impaired, Alcohol",482.3333333333333
27,43.601,-79.507,40 to 44,Dry,Clear,Dark,No Control,Other,Unknown,2301.0
28,43.601,-79.502,60 to 64,Dry,Clear,Daylight,Traffic Signal,Other,Unknown,1415.0
29,43.601,-79.501,30 to 34,Dry,Clear,"Dark, artificial",No Control,Improper Turn,Normal,2110.0
30,43.602,-79.545,80 to 84,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,1039.0
31,43.602,-79.543,90 to 94,Dry,Clear,Daylight,No Control,Lost control,Had Been Drinking,1603.0
32,43.602,-79.54,55 to 59,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,700.0
33,43.602,-79.511,55 to 59,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Inattentive,1610.0
34,43.602,-79.51,55 to 59,Dry,Clear,Daylight,No Control,Lost control,Medical or Physical Disability,1607.5
35,43.602,-79.51,60 to 64,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Inattentive,1607.5
36,43.602,-79.499,unknown,Dry,Clear,Daylight,No Control,<Null>,<Null>,1827.0
37,43.602,-79.497,40 to 44,Dry,Clear,Daylight,Stop Sign,Improper Turn,Normal,1822.0
38,43.603,-79.554,20 to 24,Dry,Clear,Dark,No Control,Other,Had Been Drinking,6.0
39,43.603,-79.506,30 to 34,Wet,Clear,Daylight,Traffic Signal,Improper Turn,Inattentive,1345.0
40,43.603,-79.503,40 to 44,Dry,Clear,Daylight,No Control,Lost control,Normal,1900.0
41,43.603,-79.493,30 to 34,Dry,Clear,"Dark, artificial",No Control,Speed too Fast For Condition,Unknown,1120.0
42,43.603,-79.493,50 to 54,Dry,Clear,"Dark, artificial",No Control,Lost control,"Ability Impaired, Alcohol Over .08",1120.0
43,43.604,-79.533,40 to 44,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,1710.0
44,43.604,-79.519,15 to 19,Loose Snow,Clear,Dark,No Control,Following too Close,Normal,1719.8
45,43.604,-79.519,20 to 24,Dry,Clear,Daylight,No Control,Other,Normal,1719.8
46,43.604,-79.519,20 to 24,Loose Snow,Clear,Dark,No Control,Lost control,Normal,1719.8
47,43.604,-79.519,30 to 34,Dry,Clear,"Dark, artificial",No Control,Failed to Yield Right of Way,Had Been Drinking,1719.8
48,43.604,-79.519,40 to 44,Loose Snow,Clear,Dark,No Control,Lost control,Inattentive,1719.8
49,43.605,-79.547,50 to 54,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Normal,2209.0
50,43.605,-79.494,75 to 79,Wet,Rain,Daylight,Stop Sign,Lost control,Normal,843.0
51,43.605,-79.493,unknown,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Unknown,1700.0
52,43.605,-79.491,45 to 49,Wet,Rain,Daylight,No Control,Other,Had Been Drinking,1310.0
53,43.605,-79.491,60 to 64,Wet,Rain,Daylight,No Control,Failed to Yield Right of Way,Normal,1310.0
54,43.606,-79.547,55 to 59,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Normal,1300.0
55,43.606,-79.49,50 to 54,Dry,Clear,Daylight,No Control,Lost control,Unknown,1855.0
56,43.607,-79.49,30 to 34,Dry,Clear,Dark,No Control,Exceeding Speed Limit,Unknown,205.0
57,43.608,-79.556,65 to 69,Dry,Clear,Dark,Traffic Signal,Improper Turn,Inattentive,1940.0
58,43.608,-79.49,20 to 24,Dry,Clear,"Dark, artificial",No Control,Lost control,Had Been Drinking,240.0
59,43.609,-79.49,20 to 24,Dry,Clear,Daylight,No Control,<Null>,<Null>,1325.0
60,43.609,-79.49,50 to 54,Dry,Clear,Daylight,No Control,<Null>,<Null>,1325.0
61,43.61,-79.561,unknown,Wet,Rain,Dark,Traffic Signal,<Null>,<Null>,2022.0
62,43.61,-79.537,55 to 59,Ice,Snow,Daylight,Stop Sign,Disobeyed Traffic Control,Normal,830.0
63,43.61,-79.495,50 to 54,Dry,Clear,Daylight,Stop Sign,Lost control,Unknown,1180.0
64,43.61,-79.495,65 to 69,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,1180.0
65,43.61,-79.488,20 to 24,Dry,Clear,Daylight,No Control,Lost control,Normal,1521.0
66,43.611,-79.543,75 to 79,Loose Snow,Clear,Dark,No Control,<Null>,<Null>,2119.0
67,43.612,-79.515,25 to 29,Dry,Clear,Dark,Stop Sign,Lost control,"Ability Impaired, Alcohol Over .08",149.0
68,43.612,-79.491,unknown,Wet,Rain,Dark,Stop Sign,Other,Unknown,200.0
69,43.613,-79.56,55 to 59,Dry,Clear,Dark,Traffic Signal,Failed to Yield Right of Way,Inattentive,1835.0
70,43.613,-79.551,20 to 24,Dry,Clear,Dark,No Control,Lost control,Normal,340.0
71,43.614,-79.556,15 to 19,Dry,Clear,Dark,Traffic Signal,Improper Turn,Normal,1840.25
72,43.614,-79.556,15 to 19,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1840.25
73,43.614,-79.556,50 to 54,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Unknown,1840.25
74,43.614,-79.556,55 to 59,Wet,Rain,Dark,Traffic Signal,Failed to Yield Right of Way,Inattentive,1840.25
75,43.614,-79.555,20 to 24,Dry,Clear,Dark,No Control,Improper Turn,Inattentive,2039.0
76,43.614,-79.555,25 to 29,Dry,Clear,Dark,No Control,Exceeding Speed Limit,Inattentive,2039.0
77,43.614,-79.554,30 to 34,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Unknown,707.0
78,43.614,-79.546,20 to 24,Dry,Clear,Dark,No Control,Lost control,Had Been Drinking,334.0
79,43.614,-79.517,50 to 54,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,1602.0
80,43.614,-79.489,55 to 59,Wet,Clear,Daylight,No Control,Improper Turn,Unknown,806.0
81,43.615,-79.552,30 to 34,Wet,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Normal,2125.0
82,43.615,-79.55,40 to 44,Dry,Clear,Daylight,No Control,Improper Passing,Normal,829.0
83,43.615,-79.536,20 to 24,Dry,Clear,Dark,No Control,Other,Had Been Drinking,314.0
84,43.615,-79.535,75 to 79,Wet,Rain,"Dark, artificial",No Control,Speed too Fast For Condition,Inattentive,10.0
85,43.615,-79.524,20 to 24,Dry,Clear,Dark,Traffic Signal,Disobeyed Traffic Control,Normal,1796.0
86,43.615,-79.524,20 to 24,Dry,Clear,Daylight,Traffic Signal,Lost control,Unknown,1796.0
87,43.615,-79.5,30 to 34,Dry,Clear,"Dawn, artificial",No Control,Speed too Fast For Condition,Inattentive,710.0
88,43.616,-79.557,25 to 29,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,1444.0
89,43.616,-79.546,25 to 29,Loose Snow,Snow,Daylight,Traffic Signal,Speed too Fast For Condition,Normal,1305.0
90,43.616,-79.534,unknown,Dry,Clear,Dark,No Control,Following too Close,Unknown,2110.0
91,43.616,-79.533,20 to 24,Dry,Clear,Dark,No Control,Improper Lane Change,Normal,1662.5
92,43.616,-79.533,50 to 54,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Normal,1662.5
93,43.616,-79.531,25 to 29,Dry,Clear,"Dark, artificial",No Control,Wrong Way on One Way Road,"Ability Impaired, Alcohol",227.0
94,43.616,-79.498,45 to 49,Dry,Clear,Dusk,No Control,Failed to Yield Right of Way,Inattentive,1643.0
95,43.617,-79.529,25 to 29,Loose Snow,Snow,Dark,No Control,Lost control,Unknown,245.0
96,43.617,-79.526,25 to 29,Dry,Clear,Daylight,No Control,Exceeding Speed Limit,Unknown,1134.0
97,43.617,-79.524,20 to 24,Wet,Rain,Dark,No Control,Lost control,Had Been Drinking,142.0
98,43.617,-79.498,70 to 74,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1264.75
99,43.617,-79.498,75 to 79,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1264.75
100,43.617,-79.498,80 to 84,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1264.75
101,43.617,-79.498,85 to 89,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1264.75
102,43.618,-79.564,20 to 24,Dry,Clear,Daylight,No Control,Lost control,Inattentive,1800.0
103,43.618,-79.524,40 to 44,Dry,Clear,Daylight,No Control,Improper Lane Change,Normal,350.0
104,43.618,-79.524,45 to 49,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Inattentive,350.0
105,43.618,-79.522,25 to 29,Wet,Rain,Daylight,No Control,Lost control,Normal,915.0
106,43.618,-79.522,unknown,Wet,Rain,Daylight,No Control,Improper Lane Change,Unknown,915.0
107,43.618,-79.52,30 to 34,Dry,Clear,Dark,No Control,Lost control,Inattentive,1416.0
108,43.618,-79.52,45 to 49,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Unknown,1416.0
109,43.618,-79.511,30 to 34,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Unknown,1868.6666666666667
110,43.618,-79.511,55 to 59,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Inattentive,1868.6666666666667
111,43.618,-79.511,70 to 74,Wet,Rain,Daylight,Traffic Signal,Lost control,Medical or Physical Disability,1868.6666666666667
112,43.618,-79.506,25 to 29,Dry,Clear,"Dark, artificial",No Control,Failed to Yield Right of Way,Inattentive,2040.0
113,43.618,-79.486,20 to 24,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Unknown,1007.5
114,43.618,-79.486,unknown,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Unknown,1007.5
115,43.619,-79.553,80 to 84,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,1914.0
116,43.619,-79.525,35 to 39,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,1057.0
117,43.619,-79.499,50 to 54,Dry,Clear,"Dark, artificial",No Control,Speed too Fast For Condition,Unknown,2005.0
118,43.62,-79.527,25 to 29,Dry,Clear,"Dark, artificial",No Control,Lost control,"Ability Impaired, Alcohol",147.0
119,43.62,-79.526,50 to 54,Dry,Clear,Dark,Traffic Signal,Improper Turn,Normal,2100.0
120,43.62,-79.513,35 to 39,Dry,Clear,Daylight,No Control,Lost control,Had Been Drinking,982.0
121,43.62,-79.513,40 to 44,Dry,Clear,Dark,No Control,Lost control,Inattentive,982.0
122,43.62,-79.511,40 to 44,Other,Other,Daylight,<Null>,<Null>,<Null>,1128.0
123,43.62,-79.51,25 to 29,Dry,Clear,"Dark, artificial",No Control,Lost control,"Ability Impaired, Alcohol Over .08",340.0
124,43.62,-79.51,unknown,Dry,Clear,"Dark, artificial",No Control,Other,Unknown,340.0
125,43.62,-79.509,20 to 24,Dry,Clear,"Dark, artificial",No Control,Lost control,Had Been Drinking,253.0
126,43.621,-79.56,35 to 39,<Null>,<Null>,Daylight,No Control,Lost control,Normal,840.0
127,43.621,-79.543,70 to 74,Dry,Clear,Daylight,No Control,Lost control,Unknown,1152.0
128,43.621,-79.525,55 to 59,Wet,Rain,Daylight,Stop Sign,Improper Turn,Normal,1675.5
129,43.621,-79.525,unknown,Wet,Clear,"Dark, artificial",No Control,Failed to Yield Right of Way,Unknown,1675.5
130,43.621,-79.524,40 to 44,Dry,Clear,"Dark, artificial",No Control,Improper Lane Change,Inattentive,2259.0
131,43.621,-79.523,20 to 24,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Inattentive,1230.0
132,43.621,-79.509,30 to 34,Dry,Clear,Dark,No Control,Lost control,"Ability Impaired, Alcohol",120.0
133,43.621,-79.5,55 to 59,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,525.0
134,43.621,-79.5,55 to 59,Dry,Clear,"Dark, artificial",Traffic Signal,Other,Unknown,525.0
135,43.622,-79.549,30 to 34,Dry,Clear,"Dark, artificial",No Control,Improper Lane Change,"Ability Impaired, Alcohol Over .08",2140.0
136,43.622,-79.503,15 to 19,Dry,Clear,"Dark, artificial",No Control,Lost control,Normal,108.0
137,43.622,-79.503,20 to 24,Dry,Clear,"Dark, artificial",No Control,Improper Lane Change,Unknown,108.0
138,43.622,-79.502,20 to 24,Wet,Rain,Dark,No Control,Exceeding Speed Limit,Unknown,300.0
139,43.622,-79.497,45 to 49,Wet,Rain,Dawn,Stop Sign,Failed to Yield Right of Way,Normal,1913.0
140,43.622,-79.481,40 to 44,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,1286.5
141,43.622,-79.481,50 to 54,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1286.5
142,43.623,-79.535,25 to 29,Dry,Clear,Daylight,No Control,Lost control,Normal,1087.5
143,43.623,-79.535,55 to 59,Dry,Clear,Daylight,Stop Sign,Improper Turn,Inattentive,1087.5
144,43.623,-79.514,20 to 24,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1770.5
145,43.623,-79.514,35 to 39,Dry,Clear,Dark,Traffic Signal,Lost control,"Ability Impaired, Alcohol Over .08",1770.5
146,43.623,-79.502,60 to 64,Dry,Clear,"Dark, artificial",No Control,Exceeding Speed Limit,"Ability Impaired, Alcohol",1845.0
147,43.623,-79.499,20 to 24,Dry,Clear,"Dark, artificial",No Control,Improper Lane Change,Inattentive,331.0
148,43.623,-79.499,30 to 34,Dry,Clear,"Dark, artificial",No Control,Exceeding Speed Limit,Normal,331.0
149,43.623,-79.496,20 to 24,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Unknown,555.0
150,43.623,-79.477,25 to 29,Dry,Clear,Daylight,No Control,Improper Turn,Inattentive,1535.0
151,43.624,-79.511,35 to 39,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,1755.0
152,43.624,-79.51,80 to 84,Dry,Clear,Daylight,No Control,Improper Turn,Normal,1206.0
153,43.624,-79.508,40 to 44,Wet,Rain,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,1455.0
154,43.625,-79.528,60 to 64,Dry,Clear,"Dusk, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,2318.0
155,43.625,-79.495,35 to 39,Dry,Clear,"Dark, artificial",No Control,Other,Unknown,115.0
156,43.625,-79.488,15 to 19,Wet,Rain,Dark,No Control,Lost control,Normal,1958.0
157,43.626,-79.528,25 to 29,Dry,Clear,"Dark, artificial",No Control,Exceeding Speed Limit,Unknown,942.3333333333334
158,43.626,-79.528,40 to 44,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Inattentive,942.3333333333334
159,43.626,-79.528,45 to 49,Dry,Clear,Daylight,Stop Sign,Failed to Yield Right of Way,Normal,942.3333333333334
160,43.626,-79.502,20 to 24,Dry,Clear,"Dark, artificial",Traffic Signal,Exceeding Speed Limit,Normal,2206.0
161,43.626,-79.502,45 to 49,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Normal,2206.0
162,43.626,-79.501,65 to 69,Dry,Clear,Daylight,Stop Sign,Improper Turn,Normal,710.0
163,43.626,-79.487,35 to 39,Dry,Clear,Daylight,No Control,Following too Close,Inattentive,955.0
164,43.626,-79.479,50 to 54,Dry,Clear,Daylight,No Control,Improper Lane Change,Inattentive,1910.0
165,43.627,-79.562,15 to 19,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,1091.5
166,43.627,-79.562,45 to 49,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Inattentive,1091.5
167,43.627,-79.495,55 to 59,Dry,Clear,Daylight,No Control,Lost control,Medical or Physical Disability,1825.0
168,43.627,-79.481,35 to 39,Dry,Clear,Dark,No Control,Lost control,"Ability Impaired, Alcohol Over .08",2222.0
169,43.628,-79.558,20 to 24,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,700.0
170,43.628,-79.558,25 to 29,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,700.0
171,43.628,-79.554,25 to 29,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1128.5
172,43.628,-79.554,40 to 44,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Unknown,1128.5
173,43.628,-79.554,60 to 64,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,1128.5
174,43.628,-79.554,60 to 64,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Inattentive,1128.5
175,43.628,-79.516,40 to 44,Dry,Clear,Daylight,Traffic Signal,Following too Close,Normal,1205.0
176,43.628,-79.503,60 to 64,Dry,Clear,Dark,No Control,<Null>,<Null>,2000.0
177,43.628,-79.491,35 to 39,Wet,Clear,"Dark, artificial",No Control,Other,Normal,237.0
178,43.628,-79.49,15 to 19,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Unknown,2248.0
179,43.628,-79.478,30 to 34,Wet,Clear,Daylight,No Control,Speed too Fast For Condition,Inattentive,1700.0
180,43.628,-79.475,70 to 74,Dry,Clear,"Dark, artificial",No Control,Failed to Yield Right of Way,Medical or Physical Disability,1538.0
181,43.629,-79.487,25 to 29,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,1059.0
182,43.629,-79.478,45 to 49,Wet,Clear,Dark,No Control,Lost control,Unknown,638.0
