,LATITUDE,LONGITUDE,COUNT
0,43.594,-79.533,2
1,43.595,-79.528,1
2,43.597,-79.522,1
3,43.598,-79.516,2
4,43.599,-79.544,1
5,43.599,-79.525,1
6,43.599,-79.508,1
7,43.6,-79.519,1
8,43.6,-79.517,1
9,43.6,-79.506,1
10,43.6,-79.504,1
11,43.601,-79.507,1
12,43.601,-79.502,1
13,43.601,-79.501,1
14,43.602,-79.545,1
15,43.602,-79.499,1
16,43.603,-79.554,1
17,43.603,-79.538,1
18,43.603,-79.506,2
19,43.604,-79.531,1
20,43.606,-79.547,1
21,43.608,-79.556,1
22,43.61,-79.561,2
23,43.61,-79.495,1
24,43.611,-79.489,1
25,43.612,-79.496,1
26,43.612,-79.491,1
27,43.613,-79.56,1
28,43.614,-79.556,1
29,43.614,-79.523,1
30,43.614,-79.494,1
31,43.614,-79.492,1
32,43.615,-79.49,1
33,43.617,-79.498,4
34,43.618,-79.537,1
35,43.618,-79.524,1
36,43.618,-79.506,1
37,43.618,-79.486,1
38,43.619,-79.553,1
39,43.619,-79.532,1
40,43.619,-79.499,1
41,43.619,-79.496,1
42,43.62,-79.527,1
43,43.62,-79.5,2
44,43.62,-79.483,1
45,43.621,-79.545,1
46,43.622,-79.481,1
47,43.623,-79.514,1
48,43.623,-79.483,1
49,43.623,-79.481,1
50,43.624,-79.515,1
51,43.624,-79.511,1
52,43.624,-79.508,1
53,43.625,-79.528,1
54,43.625,-79.495,1
55,43.626,-79.526,1
56,43.627,-79.562,1
57,43.627,-79.542,1
58,43.628,-79.554,1
59,43.628,-79.503,2
60,43.628,-79.491,1
61,43.629,-79.49,1
62,43.63,-79.482,1
63,43.63,-79.481,1
64,43.631,-79.576,1
65,43.631,-79.575,1
66,43.631,-79.552,1
67,43.631,-79.531,1
68,43.632,-79.544,1
69,43.632,-79.543,1
70,43.632,-79.531,1
71,43.632,-79.429,1
72,43.633,-79.57,3
73,43.633,-79.434,1
74,43.634,-79.471,1
75,43.634,-79.437,1
76,43.634,-79.408,1
77,43.635,-79.563,1
78,43.635,-79.403,1
79,43.635,-79.397,1
80,43.636,-79.567,1
81,43.636,-79.54,2
82,43.636,-79.475,1
83,43.636,-79.472,1
84,43.636,-79.446,1
85,43.636,-79.435,1
86,43.636,-79.4,1
87,43.636,-79.399,1
88,43.637,-79.537,1
89,43.637,-79.469,1
90,43.637,-79.447,1
91,43.637,-79.446,2
92,43.637,-79.436,1
93,43.637,-79.435,3
94,43.637,-79.434,2
95,43.637,-79.433,1
96,43.637,-79.431,1
97,43.637,-79.419,1
98,43.637,-79.397,1
99,43.637,-79.395,1
100,43.637,-79.39,1
101,43.638,-79.537,2
102,43.638,-79.436,1
103,43.638,-79.428,1
104,43.638,-79.427,2
105,43.639,-79.46,1
106,43.639,-79.456,1
107,43.639,-79.451,1
108,43.639,-79.45,1
