,AvgAcceleration,PercentCar,PercentHDT,PercentLDT,PercentMDT,PercentMPV,PercentOfVehicles,PercentOther,LATITUDE,LONGITUDE,COUNT
0,0.335,0.032,0.222,0.356,0.025,0.266,0.035,0.099,43.59,-79.526,1
1,0.316,0.008,0.341,0.212,0.039,0.305,0.064,0.094,43.592,-79.542,1
2,0.232,0.01,0.186,0.226,0.032,0.449,0.026,0.099,43.592,-79.541,1
3,0.298,0.007,0.246,0.196,0.026,0.37,0.036,0.155,43.592,-79.534,1
4,0.427,0.024,0.175,0.369,0.063,0.222,0.029,0.146,43.593,-79.541,1
5,0.421,0.019,0.188,0.264,0.104,0.344,0.069,0.081,43.593,-79.538,3
6,0.278,0.003,0.259,0.254,0.111,0.292,0.024,0.081,43.593,-79.537,1
7,0.472,0.023,0.198,0.362,0.058,0.24,0.06,0.119,43.594,-79.534,2
8,0.369,0.014,0.21,0.341,0.038,0.307,0.051,0.09,43.594,-79.533,3
9,0.298,0.013,0.373,0.167,0.031,0.308,0.08,0.108,43.595,-79.528,1
10,0.561,0.029,0.235,0.326,0.052,0.264,0.044,0.094,43.597,-79.522,1
11,0.423,0.025,0.107,0.239,0.047,0.503,0.049,0.079,43.598,-79.517,1
12,0.302,0.025,0.212,0.249,0.049,0.301,0.021,0.166,43.598,-79.516,3
13,0.351,0.023,0.21,0.314,0.074,0.221,0.009,0.158,43.599,-79.544,1
14,0.341,0.005,0.144,0.477,0.038,0.24,0.075,0.096,43.599,-79.525,1
15,0.492,0.003,0.234,0.343,0.02,0.265,0.059,0.135,43.599,-79.521,1
16,0.682,0.022,0.146,0.307,0.055,0.39,0.025,0.08,43.599,-79.517,1
17,0.546,0.012,0.254,0.316,0.077,0.238,0.034,0.103,43.599,-79.512,1
18,0.607,0.044,0.377,0.183,0.059,0.286,0.059,0.05,43.599,-79.508,1
19,0.394,0.003,0.207,0.185,0.023,0.475,0.034,0.107,43.6,-79.519,1
20,0.526,0.0,0.376,0.126,0.048,0.373,0.046,0.078,43.6,-79.517,1
21,0.5,0.021,0.262,0.293,0.068,0.267,0.022,0.088,43.6,-79.507,1
22,0.423,0.0,0.22,0.254,0.113,0.328,0.025,0.085,43.6,-79.506,1
23,0.658,0.009,0.183,0.297,0.07,0.31,0.059,0.132,43.6,-79.504,2
24,0.634,0.016,0.276,0.251,0.151,0.167,0.039,0.138,43.601,-79.545,3
25,0.544,0.011,0.124,0.251,0.042,0.382,0.02,0.189,43.601,-79.516,1
26,0.656,0.002,0.149,0.432,0.087,0.23,0.068,0.1,43.601,-79.507,1
27,0.424,0.014,0.199,0.375,0.071,0.233,0.031,0.108,43.601,-79.502,2
28,0.429,0.01,0.251,0.302,0.04,0.318,0.02,0.078,43.601,-79.501,1
29,0.454,0.014,0.254,0.311,0.135,0.162,0.067,0.124,43.602,-79.545,1
30,0.429,0.025,0.245,0.309,0.046,0.178,0.046,0.197,43.602,-79.543,1
31,0.385,0.0,0.206,0.124,0.016,0.57,0.029,0.085,43.602,-79.54,1
32,0.53,0.013,0.173,0.327,0.061,0.335,0.043,0.091,43.602,-79.511,1
33,0.363,0.007,0.155,0.283,0.056,0.405,0.052,0.094,43.602,-79.51,2
34,0.529,0.025,0.16,0.433,0.054,0.248,0.033,0.08,43.602,-79.499,1
35,0.594,0.01,0.226,0.254,0.049,0.39,0.074,0.072,43.602,-79.497,2
36,0.413,0.006,0.262,0.251,0.058,0.348,0.043,0.074,43.603,-79.554,1
37,0.341,0.011,0.358,0.24,0.132,0.135,0.013,0.124,43.603,-79.546,1
38,0.713,0.006,0.339,0.201,0.067,0.166,0.065,0.221,43.603,-79.538,1
39,0.34,0.015,0.223,0.342,0.083,0.21,0.028,0.127,43.603,-79.506,2
40,0.553,0.0,0.162,0.482,0.045,0.269,0.04,0.042,43.603,-79.503,1
41,0.582,0.014,0.079,0.205,0.031,0.559,0.076,0.111,43.603,-79.493,2
42,0.751,0.005,0.107,0.496,0.037,0.278,0.127,0.078,43.604,-79.533,1
43,0.594,0.0,0.261,0.228,0.008,0.414,0.183,0.088,43.604,-79.531,1
44,0.679,0.013,0.237,0.386,0.071,0.143,0.073,0.15,43.604,-79.519,3
45,0.365,0.017,0.255,0.27,0.148,0.2,0.015,0.11,43.605,-79.547,1
46,0.524,0.025,0.215,0.455,0.055,0.173,0.019,0.077,43.605,-79.494,1
47,0.673,0.009,0.394,0.174,0.099,0.304,0.08,0.02,43.605,-79.493,1
48,0.416,0.023,0.257,0.364,0.064,0.19,0.002,0.103,43.605,-79.491,1
49,0.374,0.015,0.282,0.258,0.142,0.181,0.018,0.123,43.606,-79.547,2
50,0.0,0.014,0.667,0.069,0.028,0.042,0.0,0.181,43.606,-79.49,1
51,0.514,0.013,0.375,0.288,0.067,0.179,0.064,0.078,43.607,-79.49,1
52,0.312,0.022,0.36,0.282,0.068,0.137,0.001,0.13,43.608,-79.556,1
53,0.478,0.016,0.278,0.304,0.069,0.233,0.046,0.101,43.608,-79.49,1
54,0.68,0.019,0.23,0.346,0.06,0.205,0.016,0.14,43.609,-79.49,1
55,0.419,0.028,0.252,0.393,0.059,0.108,0.033,0.16,43.61,-79.561,2
56,0.161,0.002,0.211,0.414,0.111,0.186,0.007,0.075,43.61,-79.537,1
57,0.455,0.014,0.188,0.389,0.05,0.288,0.083,0.071,43.61,-79.495,2
58,0.411,0.0,0.011,0.301,0.053,0.588,0.087,0.047,43.61,-79.488,1
59,0.356,0.0,0.425,0.158,0.025,0.305,0.084,0.087,43.611,-79.543,1
60,0.507,0.014,0.308,0.305,0.035,0.251,0.076,0.088,43.611,-79.489,1
61,0.462,0.037,0.368,0.252,0.065,0.096,0.059,0.182,43.612,-79.562,1
62,0.502,0.014,0.327,0.336,0.065,0.144,0.084,0.114,43.612,-79.515,1
63,0.3,0.02,0.258,0.331,0.05,0.209,0.023,0.131,43.612,-79.496,1
64,0.483,0.022,0.286,0.259,0.067,0.338,0.051,0.028,43.612,-79.491,1
65,0.309,0.088,0.205,0.384,0.029,0.153,0.047,0.142,43.613,-79.56,1
66,0.883,0.028,0.335,0.286,0.065,0.138,0.006,0.148,43.613,-79.551,1
67,0.511,0.029,0.27,0.336,0.052,0.198,0.069,0.115,43.614,-79.556,4
68,0.451,0.04,0.166,0.311,0.058,0.327,0.074,0.097,43.614,-79.555,1
69,0.421,0.217,0.144,0.244,0.042,0.282,0.148,0.072,43.614,-79.554,1
70,0.592,0.031,0.224,0.358,0.1,0.17,0.002,0.118,43.614,-79.546,1
71,0.451,0.004,0.609,0.18,0.026,0.067,0.067,0.114,43.614,-79.523,1
72,0.424,0.051,0.292,0.363,0.035,0.152,0.013,0.107,43.614,-79.517,1
73,0.493,0.0,0.33,0.217,0.015,0.39,0.037,0.047,43.614,-79.494,1
74,0.406,0.007,0.272,0.293,0.034,0.327,0.051,0.067,43.614,-79.492,1
75,0.439,0.02,0.241,0.354,0.068,0.215,0.028,0.102,43.614,-79.489,1
76,0.679,0.021,0.365,0.239,0.098,0.136,0.061,0.141,43.615,-79.552,1
77,0.546,0.02,0.326,0.24,0.133,0.134,0.005,0.147,43.615,-79.55,1
78,0.358,0.001,0.088,0.488,0.027,0.336,0.127,0.059,43.615,-79.536,1
79,0.47,0.003,0.128,0.32,0.071,0.368,0.12,0.11,43.615,-79.535,1
80,0.537,0.014,0.243,0.37,0.092,0.146,0.047,0.135,43.615,-79.524,2
81,0.482,0.021,0.295,0.201,0.01,0.218,0.02,0.255,43.615,-79.5,1
82,0.448,0.043,0.141,0.415,0.116,0.2,0.031,0.085,43.615,-79.498,1
83,0.406,0.017,0.16,0.365,0.046,0.313,0.03,0.098,43.615,-79.49,1
84,0.572,0.018,0.336,0.234,0.08,0.174,0.055,0.158,43.616,-79.557,1
85,0.591,0.008,0.254,0.236,0.16,0.163,0.034,0.18,43.616,-79.546,1
86,0.555,0.013,0.201,0.374,0.048,0.274,0.051,0.09,43.616,-79.534,1
87,0.41,0.012,0.252,0.289,0.072,0.202,0.052,0.172,43.616,-79.533,2
88,0.273,0.005,0.266,0.078,0.02,0.213,0.051,0.419,43.616,-79.531,1
89,0.558,0.025,0.19,0.417,0.025,0.253,0.033,0.091,43.616,-79.518,1
90,0.462,0.033,0.089,0.551,0.048,0.165,0.022,0.115,43.616,-79.498,1
91,0.425,0.008,0.042,0.554,0.027,0.321,0.08,0.048,43.617,-79.541,1
92,0.294,0.111,0.22,0.357,0.058,0.144,0.004,0.11,43.617,-79.529,1
93,0.553,0.019,0.303,0.241,0.164,0.136,0.023,0.137,43.617,-79.526,1
94,0.462,0.0,0.338,0.331,0.068,0.079,0.081,0.183,43.617,-79.524,1
95,0.513,0.02,0.318,0.347,0.026,0.236,0.077,0.053,43.617,-79.498,4
96,0.745,0.0,0.173,0.037,0.01,0.019,0.014,0.76,43.618,-79.564,1
97,0.56,0.002,0.176,0.074,0.048,0.635,0.039,0.064,43.618,-79.537,1
98,0.372,0.022,0.238,0.345,0.085,0.18,0.001,0.131,43.618,-79.524,3
99,0.537,0.012,0.173,0.272,0.035,0.422,0.048,0.086,43.618,-79.522,1
100,0.152,0.006,0.152,0.238,0.376,0.084,0.016,0.143,43.618,-79.52,2
101,0.316,0.028,0.319,0.341,0.06,0.128,0.018,0.124,43.618,-79.511,3
102,0.084,0.0,0.24,0.202,0.087,0.425,0.011,0.045,43.618,-79.506,1
103,0.348,0.046,0.202,0.399,0.055,0.21,0.036,0.088,43.618,-79.499,1
104,0.388,0.0,0.029,0.531,0.169,0.218,0.049,0.053,43.618,-79.486,2
105,0.607,0.018,0.36,0.266,0.083,0.132,0.002,0.142,43.619,-79.553,1
106,0.291,0.003,0.401,0.225,0.192,0.098,0.032,0.081,43.619,-79.532,1
107,0.62,0.024,0.344,0.28,0.085,0.137,0.024,0.13,43.619,-79.525,1
108,0.529,0.019,0.229,0.363,0.067,0.214,0.033,0.108,43.619,-79.499,1
