,LATITUDE,LONGITUDE,PEDTYPE,PEDACT,PEDCOND,TRAFFCTL,LIGHT,VISIBILITY,RDSFCOND,TIME,COUNT
0,43.594,-79.533,Vehicle is going straight thru inter.while ped cross without ROW,Crossing marked crosswalk without ROW,Inattentive,Traffic Signal,Daylight,Clear,Dry,1367.0,2
1,43.594,-79.533,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Dusk,Clear,Dry,1367.0,2
2,43.595,-79.528,<Null>,Other,Other,No Control,"Dark, artificial",Clear,Dry,1949.0,1
3,43.597,-79.522,Vehicle is reversing and hits pedestrian,Other,Normal,No Control,Daylight,Clear,Dry,600.0,1
4,43.598,-79.516,Vehicle is going straight thru inter.while ped cross without ROW,Running onto Roadway,Normal,Traffic Signal,Dark,Rain,Wet,1956.3333333333333,2
5,43.599,-79.544,Pedestrian hit a PXO/ped. Mid-block signal,Running onto Roadway,Inattentive,Pedestrian Crossover,Dark,Clear,Dry,1955.0,1
6,43.599,-79.525,Pedestrian hit at mid-block,Pushing/Working on Vehicle,Unknown,No Control,Daylight,Clear,Dry,1405.0,1
7,43.599,-79.508,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Daylight,Clear,Dry,1850.0,1
8,43.6,-79.519,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Inattentive,No Control,"Dawn, artificial",Rain,Wet,707.0,1
9,43.6,-79.517,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Daylight,Clear,Dry,1431.0,1
10,43.6,-79.506,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Unknown,No Control,Daylight,Clear,Dry,1236.0,1
11,43.6,-79.504,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Inattentive,No Control,Daylight,Clear,Dry,1708.0,1
12,43.601,-79.507,Other / Undefined,Other,Normal,No Control,Dark,Clear,Dry,2301.0,1
13,43.601,-79.502,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Crossing without right of way,Normal,Traffic Signal,Daylight,Clear,Dry,1208.0,1
14,43.601,-79.501,Other / Undefined,"Crossing, no Traffic Control",Had Been Drinking,No Control,"Dark, artificial",Clear,Dry,2110.0,1
15,43.602,-79.499,Unknown,<Null>,<Null>,No Control,Daylight,Clear,Dry,1827.0,1
16,43.603,-79.554,Other / Undefined,Walking on Roadway Against Traffic,Had Been Drinking,No Control,Dark,Clear,Dry,6.0,1
17,43.603,-79.538,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive,No Control,Daylight,Clear,Dry,801.0,1
18,43.603,-79.506,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,Traffic Signal,"Dark, artificial",Clear,Wet,1685.0,2
19,43.603,-79.506,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,Traffic Signal,Daylight,Clear,Wet,1685.0,2
20,43.604,-79.531,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown,No Control,Daylight,Clear,Dry,1605.0,1
21,43.606,-79.547,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Normal,Traffic Signal,Daylight,Clear,Dry,1137.0,1
22,43.608,-79.556,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Dark,Clear,Dry,1940.0,1
23,43.61,-79.561,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,No Control,Daylight,Clear,Dry,1821.0,2
24,43.61,-79.561,Unknown,<Null>,<Null>,Traffic Signal,Dark,Rain,Wet,1821.0,2
25,43.61,-79.495,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Normal,Stop Sign,Daylight,Clear,Dry,1409.0,1
