Geohash,GeohashBounds,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Location,Latitude,Longitude,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,UpdateDate,Version
dpz83ht,"POLYGON((-79.4023132324219 43.6624145507812, -79.4009399414062 43.6624145507812, -79.4009399414062 43.6637878417969, -79.4023132324219 43.6637878417969, -79.4023132324219 43.6624145507812))",43.662,-79.402,43.664,-79.401,POINT(-79.40205 43.66305),43.663,-79.402,Toronto,,Ontario,Canada,CA-ON,0.08,11,2022-02-02,5.1
dpz2jwr,"POLYGON((-79.5533752441406 43.6280822753906, -79.552001953125 43.6280822753906, -79.552001953125 43.6294555664063, -79.5533752441406 43.6294555664063, -79.5533752441406 43.6280822753906))",43.628,-79.553,43.629,-79.552,POINT(-79.55299 43.62901),43.629,-79.553,Toronto,,Ontario,Canada,CA-ON,0.053,15,2022-02-02,5.1
dpz2n6q,"POLYGON((-79.5217895507812 43.6061096191406, -79.5204162597656 43.6061096191406, -79.5204162597656 43.6074829101562, -79.5217895507812 43.6074829101562, -79.5217895507812 43.6061096191406))",43.606,-79.522,43.607,-79.52,POINT(-79.52056 43.60694),43.607,-79.521,Toronto,,Ontario,Canada,CA-ON,0.037,62,2022-02-02,5.1
dpz2jg8,"POLYGON((-79.552001953125 43.6129760742188, -79.5506286621094 43.6129760742188, -79.5506286621094 43.6143493652344, -79.552001953125 43.6143493652344, -79.552001953125 43.6129760742188))",43.613,-79.552,43.614,-79.551,POINT(-79.55122 43.61364),43.614,-79.551,Toronto,,Ontario,Canada,CA-ON,0.002,9,2022-02-02,5.1
dpz8ged,"POLYGON((-79.2965698242188 43.7448120117188, -79.2951965332031 43.7448120117188, -79.2951965332031 43.7461853027344, -79.2965698242188 43.7461853027344, -79.2965698242188 43.7448120117188))",43.745,-79.297,43.746,-79.295,POINT(-79.29571 43.74514),43.745,-79.296,Toronto,,Ontario,Canada,CA-ON,0.034,19,2022-02-02,5.1
dpz2jbq,"POLYGON((-79.5437622070312 43.5951232910156, -79.5423889160156 43.5951232910156, -79.5423889160156 43.5964965820312, -79.5437622070312 43.5964965820312, -79.5437622070312 43.5951232910156))",43.595,-79.544,43.597,-79.542,POINT(-79.54268 43.59607),43.596,-79.543,Toronto,,Ontario,Canada,CA-ON,0.005,3,2022-02-02,5.1
dpz9k9j,"POLYGON((-79.2485046386719 43.8189697265625, -79.2471313476562 43.8189697265625, -79.2471313476562 43.8203430175781, -79.2485046386719 43.8203430175781, -79.2485046386719 43.8189697265625))",43.819,-79.248,43.82,-79.247,POINT(-79.24757 43.81997),43.82,-79.248,Toronto,,Ontario,Canada,CA-ON,0.123,6,2022-02-02,5.1
dpz94hh,"POLYGON((-79.3597412109375 43.79150390625, -79.3583679199219 43.79150390625, -79.3583679199219 43.7928771972656, -79.3597412109375 43.7928771972656, -79.3597412109375 43.79150390625))",43.792,-79.36,43.793,-79.358,POINT(-79.35861 43.7919),43.792,-79.359,Toronto,,Ontario,Canada,CA-ON,0.027,6,2022-02-02,5.1
dpz94hj,"POLYGON((-79.3583679199219 43.79150390625, -79.3569946289062 43.79150390625, -79.3569946289062 43.7928771972656, -79.3583679199219 43.7928771972656, -79.3583679199219 43.79150390625))",43.792,-79.358,43.793,-79.357,POINT(-79.35788 43.79206),43.792,-79.358,Toronto,,Ontario,Canada,CA-ON,0.038,12,2022-02-02,5.1
dpz9jv8,"POLYGON((-79.200439453125 43.7997436523438, -79.1990661621094 43.7997436523438, -79.1990661621094 43.8011169433594, -79.200439453125 43.8011169433594, -79.200439453125 43.7997436523438))",43.8,-79.2,43.801,-79.199,POINT(-79.19937 43.80071),43.801,-79.199,Toronto,,Ontario,Canada,CA-ON,0.018,14,2022-02-02,5.1
dpz2jtu,"POLYGON((-79.5574951171875 43.6253356933594, -79.5561218261719 43.6253356933594, -79.5561218261719 43.626708984375, -79.5574951171875 43.626708984375, -79.5574951171875 43.6253356933594))",43.625,-79.557,43.627,-79.556,POINT(-79.55637 43.62646),43.626,-79.556,Toronto,,Ontario,Canada,CA-ON,0.002,6,2022-02-02,5.1
dpz9hgn,"POLYGON((-79.2361450195312 43.7860107421875, -79.2347717285156 43.7860107421875, -79.2347717285156 43.7873840332031, -79.2361450195312 43.7873840332031, -79.2361450195312 43.7860107421875))",43.786,-79.236,43.787,-79.235,POINT(-79.23557 43.78668),43.787,-79.236,Toronto,,Ontario,Canada,CA-ON,0.007,16,2022-02-02,5.1
dpz95jj,"POLYGON((-79.3144226074219 43.7969970703125, -79.3130493164062 43.7969970703125, -79.3130493164062 43.7983703613281, -79.3144226074219 43.7983703613281, -79.3144226074219 43.7969970703125))",43.797,-79.314,43.798,-79.313,POINT(-79.31428 43.79714),43.797,-79.314,Toronto,,Ontario,Canada,CA-ON,0.008,3,2022-02-02,5.1
dpz2ru1,"POLYGON((-79.4627380371094 43.65966796875, -79.4613647460938 43.65966796875, -79.4613647460938 43.6610412597656, -79.4627380371094 43.6610412597656, -79.4627380371094 43.65966796875))",43.66,-79.463,43.661,-79.461,POINT(-79.46223 43.65997),43.66,-79.462,Toronto,,Ontario,Canada,CA-ON,0.023,4,2022-02-02,5.1
dpz2jgt,"POLYGON((-79.5451354980469 43.6129760742188, -79.5437622070312 43.6129760742187, -79.5437622070312 43.6143493652344, -79.5451354980469 43.6143493652344, -79.5451354980469 43.6129760742188))",43.613,-79.545,43.614,-79.544,POINT(-79.54451 43.61417),43.614,-79.545,Toronto,,Ontario,Canada,CA-ON,0.034,45,2022-02-02,5.1
dpz80qz,"POLYGON((-79.4325256347656 43.6308288574219, -79.43115234375 43.6308288574219, -79.43115234375 43.6322021484375, -79.4325256347656 43.6322021484375, -79.4325256347656 43.6308288574219))",43.631,-79.433,43.632,-79.431,POINT(-79.4321 43.63178),43.632,-79.432,Toronto,,Ontario,Canada,CA-ON,0.021,14,2022-02-02,5.1
dpz88bw,"POLYGON((-79.4119262695312 43.6843872070312, -79.4105529785156 43.6843872070313, -79.4105529785156 43.6857604980469, -79.4119262695312 43.6857604980469, -79.4119262695312 43.6843872070312))",43.684,-79.412,43.686,-79.411,POINT(-79.41128 43.68464),43.685,-79.411,Toronto,,Ontario,Canada,CA-ON,0.011,8,2022-02-02,5.1
dpz90vk,"POLYGON((-79.4146728515625 43.7983703613281, -79.4132995605469 43.7983703613281, -79.4132995605469 43.7997436523438, -79.4146728515625 43.7997436523438, -79.4146728515625 43.7983703613281))",43.798,-79.415,43.8,-79.413,POINT(-79.41417 43.79935),43.799,-79.414,Toronto,,Ontario,Canada,CA-ON,0.014,3,2022-02-02,5.1
dpz2jdv,"POLYGON((-79.5561218261719 43.6088562011719, -79.5547485351562 43.6088562011719, -79.5547485351562 43.6102294921875, -79.5561218261719 43.6102294921875, -79.5561218261719 43.6088562011719))",43.609,-79.556,43.61,-79.555,POINT(-79.55511 43.60911),43.609,-79.555,Toronto,,Ontario,Canada,CA-ON,0.095,598,2022-02-02,5.1
dpz2nke,"POLYGON((-79.5259094238281 43.6184692382812, -79.5245361328125 43.6184692382812, -79.5245361328125 43.6198425292969, -79.5259094238281 43.6198425292969, -79.5259094238281 43.6184692382812))",43.618,-79.526,43.62,-79.525,POINT(-79.52542 43.61882),43.619,-79.525,Toronto,,Ontario,Canada,CA-ON,0.005,17,2022-02-02,5.1
dpz9nvj,"POLYGON((-79.1496276855469 43.7969970703125, -79.1482543945312 43.7969970703125, -79.1482543945312 43.7983703613281, -79.1496276855469 43.7983703613281, -79.1496276855469 43.7969970703125))",43.797,-79.15,43.798,-79.148,POINT(-79.14871 43.79749),43.797,-79.149,Toronto,,Ontario,Canada,CA-ON,0.016,6,2022-02-02,5.1
dpz9pj6,"POLYGON((-79.1427612304688 43.7983703613281, -79.1413879394531 43.7983703613281, -79.1413879394531 43.7997436523438, -79.1427612304688 43.7997436523438, -79.1427612304688 43.7983703613281))",43.798,-79.143,43.8,-79.141,POINT(-79.14166 43.79929),43.799,-79.142,Toronto,,Ontario,Canada,CA-ON,0,3,2022-02-02,5.1
