,Geohash,GeohashBounds,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Location,Latitude,Longitude,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,UpdateDate,Version,LATITUDE,LONGITUDE,COUNT
0,dpz83ht,"POLYGON((-79.4023132324219 43.6624145507812, -79.4009399414062 43.6624145507812, -79.4009399414062 43.6637878417969, -79.4023132324219 43.6637878417969, -79.4023132324219 43.6624145507812))",43.662,-79.402,43.664,-79.401,POINT(-79.40205 43.66305),43.663,-79.402,Toronto,,Ontario,Canada,CA-ON,0.08,11,2022-02-02,5.1,43.663,-79.402,4
1,dpz2jwr,"POLYGON((-79.5533752441406 43.6280822753906, -79.552001953125 43.6280822753906, -79.552001953125 43.6294555664063, -79.5533752441406 43.6294555664063, -79.5533752441406 43.6280822753906))",43.628,-79.553,43.629,-79.552,POINT(-79.55299 43.62901),43.629,-79.553,Toronto,,Ontario,Canada,CA-ON,0.053,15,2022-02-02,5.1,43.629,-79.553,1
2,dpz9jv8,"POLYGON((-79.200439453125 43.7997436523438, -79.1990661621094 43.7997436523438, -79.1990661621094 43.8011169433594, -79.200439453125 43.8011169433594, -79.200439453125 43.7997436523438))",43.8,-79.2,43.801,-79.199,POINT(-79.19937 43.80071),43.801,-79.199,Toronto,,Ontario,Canada,CA-ON,0.018,14,2022-02-02,5.1,43.801,-79.199,4
3,dpz80qz,"POLYGON((-79.4325256347656 43.6308288574219, -79.43115234375 43.6308288574219, -79.43115234375 43.6322021484375, -79.4325256347656 43.6322021484375, -79.4325256347656 43.6308288574219))",43.631,-79.433,43.632,-79.431,POINT(-79.4321 43.63178),43.632,-79.432,Toronto,,Ontario,Canada,CA-ON,0.021,14,2022-02-02,5.1,43.632,-79.432,1
4,dpz90vk,"POLYGON((-79.4146728515625 43.7983703613281, -79.4132995605469 43.7983703613281, -79.4132995605469 43.7997436523438, -79.4146728515625 43.7997436523438, -79.4146728515625 43.7983703613281))",43.798,-79.415,43.8,-79.413,POINT(-79.41417 43.79935),43.799,-79.414,Toronto,,Ontario,Canada,CA-ON,0.014,3,2022-02-02,5.1,43.799,-79.414,1
5,dpz2nke,"POLYGON((-79.5259094238281 43.6184692382812, -79.5245361328125 43.6184692382812, -79.5245361328125 43.6198425292969, -79.5259094238281 43.6198425292969, -79.5259094238281 43.6184692382812))",43.618,-79.526,43.62,-79.525,POINT(-79.52542 43.61882),43.619,-79.525,Toronto,,Ontario,Canada,CA-ON,0.005,17,2022-02-02,5.1,43.619,-79.525,1
6,dpz9nvj,"POLYGON((-79.1496276855469 43.7969970703125, -79.1482543945312 43.7969970703125, -79.1482543945312 43.7983703613281, -79.1496276855469 43.7983703613281, -79.1496276855469 43.7969970703125))",43.797,-79.15,43.798,-79.148,POINT(-79.14871 43.79749),43.797,-79.149,Toronto,,Ontario,Canada,CA-ON,0.016,6,2022-02-02,5.1,43.797,-79.149,1
7,dpz2pnm,"POLYGON((-79.4902038574219 43.6280822753906, -79.4888305664062 43.6280822753906, -79.4888305664062 43.6294555664063, -79.4902038574219 43.6294555664063, -79.4902038574219 43.6280822753906))",43.628,-79.49,43.629,-79.489,POINT(-79.4896 43.62903),43.629,-79.49,Toronto,,Ontario,Canada,CA-ON,0.008,10,2022-02-02,5.1,43.629,-79.49,1
8,dpz9jv9,"POLYGON((-79.1990661621094 43.7997436523438, -79.1976928710938 43.7997436523438, -79.1976928710938 43.8011169433594, -79.1990661621094 43.8011169433594, -79.1990661621094 43.7997436523438))",43.8,-79.199,43.801,-79.198,POINT(-79.19874 43.80027),43.8,-79.199,Toronto,,Ontario,Canada,CA-ON,0.014,15,2022-02-02,5.1,43.8,-79.199,5
9,dpz83sd,"POLYGON((-79.3844604492188 43.6624145507812, -79.3830871582031 43.6624145507812, -79.3830871582031 43.6637878417969, -79.3844604492188 43.6637878417969, -79.3844604492188 43.6624145507812))",43.662,-79.384,43.664,-79.383,POINT(-79.38389 43.66299),43.663,-79.384,Toronto,,Ontario,Canada,CA-ON,0.006,3,2022-02-02,5.1,43.663,-79.384,4
10,dpz80qy,"POLYGON((-79.4338989257812 43.6308288574219, -79.4325256347656 43.6308288574219, -79.4325256347656 43.6322021484375, -79.4338989257812 43.6322021484375, -79.4338989257812 43.6308288574219))",43.631,-79.434,43.632,-79.433,POINT(-79.43275 43.63191),43.632,-79.433,Toronto,,Ontario,Canada,CA-ON,0.057,42,2022-02-02,5.1,43.632,-79.433,1
11,dpz83sn,"POLYGON((-79.3789672851562 43.65966796875, -79.3775939941406 43.65966796875, -79.3775939941406 43.6610412597656, -79.3789672851562 43.6610412597656, -79.3789672851562 43.65966796875))",43.66,-79.379,43.661,-79.378,POINT(-79.37835 43.65984),43.66,-79.378,Toronto,,Ontario,Canada,CA-ON,0.004,4,2022-02-02,5.1,43.66,-79.378,1
12,dpz9k9w,"POLYGON((-79.2471313476562 43.8217163085938, -79.2457580566406 43.8217163085938, -79.2457580566406 43.8230895996094, -79.2471313476562 43.8230895996094, -79.2471313476562 43.8217163085938))",43.822,-79.247,43.823,-79.246,POINT(-79.24708 43.82257),43.823,-79.247,Toronto,,Ontario,Canada,CA-ON,0.002,3,2022-02-02,5.1,43.823,-79.247,3
13,dpz91gd,"POLYGON((-79.3734741210938 43.7887573242188, -79.3721008300781 43.7887573242188, -79.3721008300781 43.7901306152344, -79.3734741210938 43.7901306152344, -79.3734741210938 43.7887573242188))",43.789,-79.373,43.79,-79.372,POINT(-79.37321 43.78914),43.789,-79.373,Toronto,,Ontario,Canada,CA-ON,0.027,8,2022-02-02,5.1,43.789,-79.373,2
14,dpz9hxe,"POLYGON((-79.2512512207031 43.8107299804688, -79.2498779296875 43.8107299804688, -79.2498779296875 43.8121032714844, -79.2512512207031 43.8121032714844, -79.2512512207031 43.8107299804688))",43.811,-79.251,43.812,-79.25,POINT(-79.25031 43.81141),43.811,-79.25,Toronto,,Ontario,Canada,CA-ON,0.007,3,2022-02-02,5.1,43.811,-79.25,1
15,dpz95rs,"POLYGON((-79.3048095703125 43.8107299804688, -79.3034362792969 43.8107299804688, -79.3034362792969 43.8121032714844, -79.3048095703125 43.8121032714844, -79.3048095703125 43.8107299804688))",43.811,-79.305,43.812,-79.303,POINT(-79.30436 43.81118),43.811,-79.304,Toronto,,Ontario,Canada,CA-ON,0.019,4,2022-02-02,5.1,43.811,-79.304,1
16,dpxrypf,"POLYGON((-79.5382690429688 43.5923767089844, -79.5368957519531 43.5923767089844, -79.5368957519531 43.59375, -79.5382690429688 43.59375, -79.5382690429688 43.5923767089844))",43.592,-79.538,43.594,-79.537,POINT(-79.53802 43.59348),43.593,-79.538,Toronto,,Ontario,Canada,CA-ON,0.022,8,2022-02-02,5.1,43.593,-79.538,3
17,dpz9kbj,"POLYGON((-79.2375183105469 43.8134765625, -79.2361450195312 43.8134765625, -79.2361450195312 43.8148498535156, -79.2375183105469 43.8148498535156, -79.2375183105469 43.8134765625))",43.813,-79.238,43.815,-79.236,POINT(-79.23712 43.81414),43.814,-79.237,Toronto,,Ontario,Canada,CA-ON,0.029,21,2022-02-02,5.1,43.814,-79.237,3
