,Latitude,Longitude,IncidentsTotal,SeverityScore,LATITUDE,LONGITUDE,COUNT
0,43.59,-79.54,47,0.04775,43.59,-79.54,4
1,43.59,-79.53,8,0.022,43.59,-79.53,11
2,43.59,-79.51,6,0.028,43.59,-79.51,6
3,43.6,-79.55,1419,0.029125,43.6,-79.55,2
4,43.6,-79.54,24,0.018000000000000002,43.6,-79.54,10
5,43.6,-79.53,3,0.027,43.6,-79.53,3
6,43.6,-79.51,10,0.156,43.6,-79.51,9
7,43.6,-79.5,109,0.1125,43.6,-79.5,11
8,43.61,-79.56,35,0.0388,43.61,-79.56,5
9,43.61,-79.55,1986,0.01819047619047619,43.61,-79.55,11
10,43.61,-79.54,860,0.015588235294117648,43.61,-79.54,4
11,43.61,-79.53,2160,0.03215384615384616,43.61,-79.53,9
12,43.61,-79.52,407,0.008615384615384615,43.61,-79.52,13
13,43.61,-79.51,24,0.006,43.61,-79.51,6
14,43.61,-79.5,17,0.015666666666666666,43.61,-79.5,2
15,43.61,-79.48,3,0.006,43.61,-79.48,5
16,43.62,-79.56,9,0.0045000000000000005,43.62,-79.56,3
17,43.62,-79.55,1207,0.012625000000000003,43.62,-79.55,6
18,43.62,-79.53,3,0.014,43.62,-79.53,2
19,43.62,-79.52,238,0.021625,43.62,-79.52,12
20,43.62,-79.51,205,0.007500000000000002,43.62,-79.51,12
21,43.62,-79.5,10,0.004,43.62,-79.5,15
22,43.62,-79.49,65,0.002625,43.62,-79.49,8
23,43.62,-79.48,1875,0.020687500000000004,43.62,-79.48,10
24,43.62,-79.47,16,0.004,43.62,-79.47,5
25,43.63,-79.56,82,0.0028000000000000004,43.63,-79.56,7
26,43.63,-79.55,645,0.017461538461538466,43.63,-79.55,7
27,43.63,-79.54,80,0.028875000000000005,43.63,-79.54,6
28,43.63,-79.53,10,0.0115,43.63,-79.53,5
29,43.63,-79.52,39,0.0405,43.63,-79.52,3
30,43.63,-79.51,3,0.006,43.63,-79.51,2
31,43.63,-79.48,3,0.005,43.63,-79.48,5
32,43.63,-79.47,505,0.009333333333333332,43.63,-79.47,17
33,43.63,-79.46,152,0.009571428571428573,43.63,-79.46,7
34,43.63,-79.45,251,0.008625,43.63,-79.45,9
35,43.63,-79.44,125,0.0036250000000000006,43.63,-79.44,19
36,43.63,-79.43,293,0.01153846153846154,43.63,-79.43,37
37,43.63,-79.42,161,0.006153846153846155,43.63,-79.42,18
38,43.63,-79.41,103,0.0035714285714285718,43.63,-79.41,9
39,43.63,-79.4,244,0.009714285714285717,43.63,-79.4,14
40,43.63,-79.39,297,0.008300000000000002,43.63,-79.39,19
41,43.63,-79.38,109,0.011333333333333334,43.63,-79.38,18
42,43.64,-79.57,19,0.01925,43.64,-79.57,7
43,43.64,-79.56,208,0.004785714285714287,43.64,-79.56,10
44,43.64,-79.54,6,0.0205,43.64,-79.54,2
45,43.64,-79.53,33,0.0144,43.64,-79.53,6
46,43.64,-79.52,77,0.02716666666666667,43.64,-79.52,15
47,43.64,-79.51,7,0.006500000000000001,43.64,-79.51,6
48,43.64,-79.5,5,0.01,43.64,-79.5,4
49,43.64,-79.49,3,0.005,43.64,-79.49,4
50,43.64,-79.48,10,0.006500000000000001,43.64,-79.48,7
51,43.64,-79.47,5,0.011,43.64,-79.47,2
52,43.64,-79.45,83,0.029,43.64,-79.45,10
53,43.64,-79.43,13,0.005333333333333333,43.64,-79.43,28
54,43.64,-79.42,56,0.0186,43.64,-79.42,31
55,43.64,-79.41,6,0.0055,43.64,-79.41,22
56,43.64,-79.4,98,0.011090909090909094,43.64,-79.4,46
57,43.64,-79.39,317,0.012526315789473687,43.64,-79.39,50
58,43.64,-79.38,1042,0.014000000000000007,43.64,-79.38,61
59,43.64,-79.37,1028,0.02542307692307693,43.64,-79.37,61
60,43.64,-79.36,789,0.018285714285714287,43.64,-79.36,19
61,43.64,-79.35,518,0.0147,43.64,-79.35,10
62,43.64,-79.34,24,0.0155,43.64,-79.34,5
63,43.65,-79.56,148,0.002333333333333334,43.65,-79.56,8
64,43.65,-79.52,26,0.019500000000000003,43.65,-79.52,6
65,43.65,-79.51,7,0.0175,43.65,-79.51,7
66,43.65,-79.48,59,0.02666666666666667,43.65,-79.48,9
67,43.65,-79.47,6,0.0055,43.65,-79.47,13
68,43.65,-79.46,8,0.0085,43.65,-79.46,6
69,43.65,-79.45,99,0.017875,43.65,-79.45,26
70,43.65,-79.44,28,0.010333333333333333,43.65,-79.44,24
71,43.65,-79.43,10,0.007666666666666666,43.65,-79.43,35
72,43.65,-79.42,5,0.007,43.65,-79.42,22
73,43.65,-79.4,41,0.00975,43.65,-79.4,49
74,43.65,-79.39,31,0.012,43.65,-79.39,54
75,43.65,-79.38,441,0.012689655172413796,43.65,-79.38,84
76,43.65,-79.37,241,0.010583333333333335,43.65,-79.37,76
77,43.65,-79.36,105,0.009642857142857144,43.65,-79.36,49
78,43.65,-79.35,273,0.010916666666666667,43.65,-79.35,20
79,43.65,-79.34,867,0.022200000000000004,43.65,-79.34,33
80,43.65,-79.33,430,0.02811111111111111,43.65,-79.33,13
81,43.65,-79.32,184,0.0816,43.65,-79.32,2
82,43.66,-79.59,73,0.004,43.66,-79.59,3
83,43.66,-79.58,3,0.001,43.66,-79.58,8
84,43.66,-79.57,157,0.0022222222222222227,43.66,-79.57,3
85,43.66,-79.51,167,0.153,43.66,-79.51,6
86,43.66,-79.5,169,0.045,43.66,-79.5,1
87,43.66,-79.49,113,0.023666666666666666,43.66,-79.49,17
88,43.66,-79.48,22,0.01725,43.66,-79.48,12
89,43.66,-79.47,3,0.009,43.66,-79.47,5
