,LATITUDE,LONGITUDE,COUNT
0,43.590289,-79.526683,1
1,43.592047,-79.534717,1
2,43.592545,-79.54179,1
3,43.592673,-79.542079,1
4,43.593039,-79.54156,1
5,43.593325,-79.538135,1
6,43.593345,-79.53819,2
7,43.593527,-79.537532,1
8,43.594142,-79.53458,1
9,43.594245,-79.53449,1
10,43.594345,-79.53399,3
11,43.594889,-79.531665,1
12,43.595668,-79.528278,1
13,43.597373,-79.522662,1
14,43.59801,-79.517459,1
15,43.598124,-79.51691,2
16,43.598145,-79.51689,1
17,43.599005,-79.512874,1
18,43.599145,-79.51739,1
19,43.599227,-79.544116,1
20,43.599353,-79.525653,1
21,43.599944,-79.508594,1
22,43.599963,-79.521175,1
23,43.600245,-79.50759,1
24,43.600444,-79.519092,1
25,43.600445,-79.50639,1
26,43.600611,-79.517978,1
27,43.600845,-79.50469,1
28,43.600909,-79.504077,1
29,43.601058,-79.507938,1
30,43.601107,-79.516086,1
31,43.601245,-79.50299,1
32,43.601245,-79.502986,1
33,43.601504,-79.501865,1
34,43.601615,-79.545207,1
35,43.601645,-79.54519,2
36,43.602045,-79.51169,1
37,43.602045,-79.49909,1
38,43.602245,-79.54549,1
39,43.602278,-79.510753,1
40,43.60229,-79.49792,1
41,43.602343,-79.497989,1
42,43.602445,-79.51009,1
43,43.602645,-79.54319,1
44,43.602687,-79.54079,1
45,43.603137,-79.538493,1
46,43.603228,-79.506282,1
47,43.603245,-79.55459,1
48,43.603245,-79.50629,1
49,43.603245,-79.50389,1
50,43.603362,-79.493755,1
51,43.603579,-79.493121,1
52,43.603845,-79.54619,1
53,43.604254,-79.533725,1
54,43.604445,-79.51949,1
55,43.604545,-79.51959,1
56,43.604745,-79.53139,1
57,43.604773,-79.519672,1
58,43.605387,-79.493869,1
59,43.605445,-79.49109,1
60,43.605845,-79.49409,1
61,43.605952,-79.547092,1
62,43.606045,-79.54709,1
63,43.60657,-79.547351,1
64,43.606945,-79.49049,1
65,43.607645,-79.49039,1
66,43.608233,-79.490337,1
67,43.608945,-79.55639,1
68,43.60966,-79.49026,1
69,43.610045,-79.49579,1
70,43.610145,-79.49589,1
71,43.610362,-79.488437,1
72,43.610545,-79.53779,1
73,43.610745,-79.56149,2
74,43.611145,-79.48999,1
75,43.611845,-79.54379,1
76,43.612075,-79.515811,1
77,43.612246,-79.496692,1
78,43.6123,-79.562633,1
79,43.612645,-79.49159,1
80,43.613045,-79.55109,1
81,43.613645,-79.56039,1
82,43.614035,-79.489146,1
83,43.614045,-79.52359,1
84,43.614145,-79.51729,1
85,43.614146,-79.55611,2
86,43.614207,-79.55614,1
87,43.614245,-79.55619,1
88,43.614345,-79.55519,1
89,43.61447,-79.554401,1
90,43.614545,-79.54639,1
91,43.614845,-79.49209,1
92,43.614997,-79.494197,1
93,43.615058,-79.552249,1
94,43.615445,-79.55059,1
95,43.61558,-79.500003,1
96,43.615843,-79.49023,1
97,43.615845,-79.52459,1
98,43.615851,-79.535251,1
99,43.615863,-79.524616,1
100,43.615878,-79.536365,1
101,43.615945,-79.49829,1
102,43.616045,-79.53439,1
103,43.616103,-79.498325,1
104,43.616381,-79.533878,1
105,43.616445,-79.54629,1
106,43.616445,-79.53369,1
107,43.616686,-79.531215,1
108,43.616923,-79.518802,1
109,43.616969,-79.557323,1
110,43.617245,-79.52979,1
111,43.617427,-79.498882,1
112,43.617445,-79.54199,1
113,43.617445,-79.49889,3
114,43.617745,-79.52689,1
115,43.617945,-79.52489,1
116,43.618045,-79.52479,1
117,43.618045,-79.52449,1
118,43.618245,-79.52439,1
119,43.618323,-79.511287,1
120,43.618345,-79.51129,1
121,43.618377,-79.499271,1
122,43.618384,-79.511318,1
123,43.618445,-79.52249,1
124,43.618545,-79.53759,1
125,43.618545,-79.48669,1
126,43.618716,-79.506374,1
127,43.618773,-79.564426,1
128,43.618845,-79.52039,1
129,43.618888,-79.520129,1
130,43.618945,-79.48649,1
131,43.619052,-79.499576,1
132,43.61912,-79.525974,1
133,43.619403,-79.553706,1
134,43.619612,-79.532115,1
135,43.619745,-79.49649,1
136,43.620245,-79.51349,1
137,43.620245,-79.48379,1
138,43.620345,-79.51379,1
139,43.620642,-79.527904,1
140,43.620645,-79.51199,1
141,43.620658,-79.500232,1
142,43.620745,-79.51189,1
143,43.620745,-79.51159,1
144,43.620745,-79.51069,1
145,43.620845,-79.50099,1
146,43.620928,-79.509891,1
147,43.620945,-79.52669,1
148,43.621045,-79.50039,1
149,43.621145,-79.50979,1
150,43.621218,-79.560214,1
151,43.621298,-79.524844,1
152,43.621302,-79.545421,1
153,43.621318,-79.525058,1
154,43.621345,-79.52509,1
155,43.621562,-79.500606,1
156,43.621604,-79.523433,2
157,43.621845,-79.54319,1
158,43.622245,-79.49749,1
159,43.622428,-79.503055,1
160,43.622645,-79.502467,1
161,43.622855,-79.549763,1
162,43.622859,-79.481197,1
163,43.622945,-79.48119,1
164,43.622958,-79.481197,1
165,43.623107,-79.499957,1
166,43.623171,-79.481792,1
167,43.623325,-79.51466,1
168,43.62345,-79.502383,1
169,43.623545,-79.53579,2
170,43.623583,-79.514774,1
171,43.623709,-79.496753,1
172,43.623797,-79.477939,1
173,43.623965,-79.483676,1
174,43.62427,-79.511646,1
175,43.624545,-79.51049,1
176,43.624645,-79.51519,1
177,43.624903,-79.508815,1
178,43.625136,-79.528507,1
179,43.625745,-79.48839,1
180,43.625903,-79.495113,1
