,LATITUDE,LONGITUDE,COUNT
0,43.59,-79.54,4
1,43.59,-79.53,11
2,43.59,-79.52,5
3,43.59,-79.51,6
4,43.59,-79.5,1
5,43.6,-79.55,2
6,43.6,-79.54,10
7,43.6,-79.53,3
8,43.6,-79.51,9
9,43.6,-79.5,11
10,43.6,-79.49,12
11,43.61,-79.56,5
12,43.61,-79.55,11
13,43.61,-79.54,4
14,43.61,-79.53,9
15,43.61,-79.52,13
16,43.61,-79.51,6
17,43.61,-79.5,2
18,43.61,-79.49,16
19,43.61,-79.48,5
20,43.62,-79.56,3
21,43.62,-79.55,6
22,43.62,-79.54,4
23,43.62,-79.53,2
24,43.62,-79.52,12
25,43.62,-79.51,12
26,43.62,-79.5,15
27,43.62,-79.49,8
28,43.62,-79.48,10
29,43.62,-79.47,5
30,43.62,-79.42,2
31,43.63,-79.58,2
32,43.63,-79.57,7
33,43.63,-79.56,7
34,43.63,-79.55,7
35,43.63,-79.54,6
36,43.63,-79.53,5
37,43.63,-79.52,3
38,43.63,-79.51,2
39,43.63,-79.5,2
40,43.63,-79.48,5
41,43.63,-79.47,17
42,43.63,-79.46,7
43,43.63,-79.45,9
44,43.63,-79.44,19
45,43.63,-79.43,37
46,43.63,-79.42,18
47,43.63,-79.41,9
48,43.63,-79.4,14
49,43.63,-79.39,19
50,43.63,-79.38,18
51,43.63,-79.34,2
52,43.64,-79.57,7
53,43.64,-79.56,10
54,43.64,-79.55,6
55,43.64,-79.54,2
56,43.64,-79.53,6
57,43.64,-79.52,15
58,43.64,-79.51,6
59,43.64,-79.5,4
60,43.64,-79.49,4
61,43.64,-79.48,7
62,43.64,-79.47,2
63,43.64,-79.45,10
64,43.64,-79.44,8
65,43.64,-79.43,28
66,43.64,-79.42,31
67,43.64,-79.41,22
68,43.64,-79.4,46
69,43.64,-79.39,50
70,43.64,-79.38,61
71,43.64,-79.37,61
72,43.64,-79.36,19
73,43.64,-79.35,10
74,43.64,-79.34,5
75,43.64,-79.32,1
76,43.65,-79.6,2
77,43.65,-79.59,3
78,43.65,-79.58,4
79,43.65,-79.57,4
80,43.65,-79.56,8
81,43.65,-79.55,3
82,43.65,-79.54,4
83,43.65,-79.53,1
84,43.65,-79.52,6
85,43.65,-79.51,7
86,43.65,-79.5,1
87,43.65,-79.49,2
88,43.65,-79.48,9
89,43.65,-79.47,13
90,43.65,-79.46,6
91,43.65,-79.45,26
92,43.65,-79.44,24
93,43.65,-79.43,35
94,43.65,-79.42,22
95,43.65,-79.41,14
96,43.65,-79.4,49
97,43.65,-79.39,54
98,43.65,-79.38,84
99,43.65,-79.37,76
100,43.65,-79.36,49
101,43.65,-79.35,20
102,43.65,-79.34,33
103,43.65,-79.33,13
104,43.65,-79.32,2
105,43.66,-79.59,3
106,43.66,-79.58,8
107,43.66,-79.57,3
108,43.66,-79.54,4
109,43.66,-79.53,5
110,43.66,-79.52,3
111,43.66,-79.51,6
112,43.66,-79.5,1
113,43.66,-79.49,17
114,43.66,-79.48,12
115,43.66,-79.47,5
116,43.66,-79.46,21
117,43.66,-79.45,13
118,43.66,-79.44,17
119,43.66,-79.43,24
120,43.66,-79.42,16
121,43.66,-79.41,26
122,43.66,-79.4,29
123,43.66,-79.39,16
124,43.66,-79.38,38
125,43.66,-79.37,43
126,43.66,-79.36,23
127,43.66,-79.35,32
128,43.66,-79.34,20
129,43.66,-79.33,20
130,43.66,-79.32,9
131,43.66,-79.31,16
132,43.66,-79.3,8
133,43.67,-79.59,5
134,43.67,-79.57,1
135,43.67,-79.56,10
136,43.67,-79.55,10
137,43.67,-79.54,2
138,43.67,-79.53,2
139,43.67,-79.52,3
140,43.67,-79.51,1
141,43.67,-79.5,2
142,43.67,-79.49,16
143,43.67,-79.48,7
144,43.67,-79.47,13
145,43.67,-79.46,24
146,43.67,-79.45,21
147,43.67,-79.44,28
148,43.67,-79.43,17
149,43.67,-79.42,21
150,43.67,-79.41,18
151,43.67,-79.4,18
152,43.67,-79.39,28
153,43.67,-79.38,29
154,43.67,-79.37,13
155,43.67,-79.36,21
156,43.67,-79.35,20
157,43.67,-79.34,21
158,43.67,-79.33,4
159,43.67,-79.32,13
160,43.67,-79.31,6
161,43.67,-79.3,12
162,43.67,-79.29,6
163,43.67,-79.28,6
164,43.67,-79.27,1
