Latitude,Longitude,PercentOfVehicles,AvgAcceleration,PercentCar,PercentMPV,PercentLDT,PercentMDT,PercentHDT,PercentOther
37.801,-95.952,0.008,0.268,0,0.03,0.653,0.065,0.201,0.05
43.645,-79.393,0.094,0.732,0.023,0.261,0.298,0.094,0.179,0.145
43.609,-79.555,0.002,0.562,0.022,0.125,0.279,0.067,0.363,0.143
43.685,-79.283,0.092,0.467,0.004,0.236,0.407,0.107,0.052,0.195
43.669,-79.426,0.045,0.52,0.011,0.306,0.229,0.107,0.127,0.221
43.676,-79.397,0.012,0.32,0.059,0.22,0.333,0.081,0.116,0.191
43.682,-79.586,0.106,0.495,0,0.033,0.587,0.052,0.276,0.052
43.788,-79.236,0.028,0.438,0.014,0.141,0.322,0.049,0.298,0.176
43.665,-79.544,0.035,0.199,0.012,0.317,0.117,0.076,0.408,0.07
43.797,-79.418,0.016,0.286,0.025,0.472,0.375,0.03,0.053,0.044
43.657,-79.435,0.083,0.43,0.054,0.2,0.364,0.077,0.15,0.155
43.797,-79.214,0.015,0.229,0,0.578,0.239,0.036,0.082,0.065
43.665,-79.325,0.069,0.426,0.032,0.268,0.42,0.081,0.114,0.084
43.651,-79.445,0.035,0.68,0.025,0.172,0.345,0.094,0.197,0.167
43.787,-79.371,0.086,0.495,0.002,0.66,0.14,0.028,0.076,0.094
43.643,-79.41,0.025,0.496,0.016,0.276,0.155,0.11,0.153,0.29
43.808,-79.324,0.043,0.415,0,0.628,0.059,0.243,0.05,0.019
43.651,-79.358,0.01,0.358,0.044,0.187,0.349,0.094,0.187,0.14
43.659,-79.379,0.006,0.125,0.016,0.101,0.085,0.007,0.089,0.703
43.823,-79.224,0.024,0.345,0.023,0.566,0.26,0.042,0.033,0.076
43.808,-79.321,0.059,0.124,0,0.647,0.353,0,0,0
43.675,-79.466,0.019,0.398,0.004,0.163,0.186,0.131,0.346,0.171
43.593,-79.524,0.175,0.372,0.012,0.305,0.204,0.04,0.325,0.115
43.787,-79.42,0.157,0.45,0.021,0.269,0.398,0.069,0.134,0.109
43.633,-79.428,0.006,0.403,0.313,0.116,0.275,0.059,0.134,0.104
43.64,-79.582,0.169,0.532,0.003,0.367,0.391,0.17,0.02,0.049
43.787,-79.389,0.027,0.195,0.023,0.664,0.114,0.025,0.046,0.129
43.603,-79.5,0.054,0.546,0.001,0.26,0.444,0.035,0.197,0.064
43.606,-79.549,0.023,0.42,0.061,0.252,0.349,0.118,0.147,0.073
43.64,-79.391,0.071,0.443,0.027,0.379,0.267,0.085,0.092,0.15
43.787,-79.139,0.025,0.238,0.013,0.479,0.315,0.041,0.054,0.098
43.595,-79.54,0.106,0.527,0,0.206,0.326,0.046,0.309,0.113
43.685,-79.481,0.005,0.274,0.022,0.118,0.353,0.073,0.237,0.197
43.639,-79.35,0.028,0.472,0,0.78,0.034,0.008,0.11,0.068
43.672,-79.375,0.033,0.397,0.088,0.232,0.305,0.077,0.168,0.128
43.653,-79.566,0.005,0.27,0.021,0.227,0.326,0.084,0.224,0.117
43.667,-79.517,0.065,0.645,0,0.328,0.299,0.06,0.204,0.11
43.597,-79.519,0.162,0.458,0.006,0.249,0.295,0.124,0.138,0.188
40.451,-80.606,0.059,0.288,0,0,0.904,0.096,0,0
43.664,-79.4,0.04,0.725,0.013,0.201,0.437,0.1,0.084,0.165
43.808,-79.279,0.107,0.461,0.018,0.508,0.203,0.062,0.125,0.085
43.657,-79.569,0,0.457,0.016,0.122,0.264,0.08,0.374,0.145
43.659,-79.508,0.077,0.387,0.001,0.359,0.19,0.015,0.255,0.18
43.639,-79.399,0.03,0.441,0.069,0.379,0.264,0.072,0.103,0.113
43.682,-79.442,0.041,0.424,0.012,0.337,0.332,0.064,0.053,0.201
43.681,-79.579,0,0.446,0.009,0.072,0.194,0.063,0.536,0.126
43.806,-79.27,0.084,0.471,0.01,0.336,0.505,0.028,0.019,0.102
43.8,-79.238,0.054,0.836,0.013,0.121,0.301,0.097,0.28,0.188
43.682,-79.445,0.023,0.403,0.028,0.193,0.363,0.069,0.15,0.198
43.667,-79.409,0.015,0.485,0.012,0.429,0.224,0.072,0.084,0.18
43.666,-79.497,0.015,0.306,0.014,0.154,0.424,0.116,0.154,0.138
43.678,-79.519,0.063,0.446,0.063,0.399,0.249,0.039,0.199,0.051
43.622,-79.561,0.005,0.464,0,0.001,0.013,0.004,0.049,0.932
43.799,-79.226,0.018,0.282,0.017,0.45,0.265,0.028,0.082,0.157
43.639,-79.578,0.082,0.509,0,0.318,0.191,0.078,0.227,0.186
43.662,-79.414,0.07,0.648,0.008,0.317,0.357,0.069,0.053,0.197
43.807,-79.256,0.045,0.367,0.047,0.366,0.267,0.139,0.094,0.087
43.601,-79.549,0.103,0.519,0.002,0.277,0.447,0.047,0.076,0.151
43.681,-79.323,0.014,0.358,0.025,0.229,0.394,0.059,0.167,0.125
43.666,-79.577,0.083,0.306,0,0.143,0.343,0.04,0.426,0.048
43.791,-79.358,0.069,0.352,0,0.505,0.313,0.013,0.073,0.096
43.671,-79.477,0.027,0.502,0.008,0.266,0.392,0.058,0.12,0.156
43.805,-79.137,0.032,0.28,0.033,0.393,0.48,0.02,0.02,0.054
43.636,-79.428,0.038,0.929,0.011,0.185,0.445,0.071,0.151,0.138
43.659,-79.426,0.07,0.489,0.01,0.4,0.343,0.03,0.078,0.139
43.596,-79.527,0.008,0.236,0.023,0.221,0.373,0.061,0.215,0.107
43.809,-79.297,0.109,0.885,0.02,0.237,0.306,0.064,0.239,0.132
43.656,-79.393,0.023,0.546,0.013,0.197,0.295,0.182,0.107,0.205
43.6,-79.522,0.045,0.353,0.013,0.474,0.277,0.045,0.129,0.061
43.618,-79.527,0.011,0.438,0.027,0.176,0.287,0.076,0.296,0.138
43.649,-79.409,0.054,0.77,0.023,0.374,0.26,0.101,0.054,0.188
43.665,-79.499,0.087,0.677,0.011,0.209,0.623,0.034,0.057,0.067
43.799,-79.135,0.004,0.662,0.018,0.258,0.338,0.1,0.145,0.14
43.656,-79.377,0.022,0.338,0.051,0.312,0.296,0.058,0.134,0.148
43.831,-79.25,0.024,0.507,0.006,0.068,0.373,0.065,0.342,0.146
43.795,-79.276,0.017,0.273,0.006,0.29,0.545,0.026,0.025,0.109
