X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,ObjectId
-8844227.34473137,5410872.60852159,5229859,1100239,2009,2009/04/20 04:00:00+00,1330,13,RONCESVALLES AVE,HIGH PARK BLVD,<Null>,Minor Arterial,Toronto and East York,4,11,43.646327,-79.449046,Intersection,<Null>,Traffic Signal,Rain,Daylight,Wet,Fatal,Pedestrian Collisions,Pedestrian,85 to 89,Fatal,13,West,Other,<Null>,<Null>,<Null>,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D11,86,Roncesvalles (86),1
-8844227.34473137,5410872.60852159,5229860,1100239,2009,2009/04/20 04:00:00+00,1330,13,RONCESVALLES AVE,HIGH PARK BLVD,<Null>,Minor Arterial,Toronto and East York,4,11,43.646327,-79.449046,Intersection,<Null>,Traffic Signal,Rain,Daylight,Wet,Fatal,Pedestrian Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D11,86,Roncesvalles (86),2
-8844227.34473137,5410872.60852159,5229861,1100239,2009,2009/04/20 04:00:00+00,1330,13,RONCESVALLES AVE,HIGH PARK BLVD,<Null>,Minor Arterial,Toronto and East York,4,11,43.646327,-79.449046,Intersection,<Null>,Traffic Signal,Rain,Daylight,Wet,Fatal,Pedestrian Collisions,Driver,40 to 44,None,<Null>,East,Municipal Transit Bus (TTC),Turning Left,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D11,86,Roncesvalles (86),3
-8821233.63599107,5433471.07802583,5792490,1111945,2009,2009/06/30 04:00:00+00,1930,19,5050 SHEPPARD AVE E,<Null>,<Null>,Major Arterial,Scarborough,23,42,43.793045,-79.24249,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D42,128,Agincourt South-Malvern West (128),4
-8821233.63599107,5433471.07802583,5792491,1111945,2009,2009/06/30 04:00:00+00,1930,19,5050 SHEPPARD AVE E,<Null>,<Null>,Major Arterial,Scarborough,23,42,43.793045,-79.24249,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,50 to 54,None,<Null>,East,Municipal Transit Bus (TTC),Turning Left,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D42,128,Agincourt South-Malvern West (128),5
-8821233.63599107,5433471.07802583,5792492,1111945,2009,2009/06/30 04:00:00+00,1930,19,5050 SHEPPARD AVE E,<Null>,<Null>,Major Arterial,Scarborough,23,42,43.793045,-79.24249,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,24,East,Other,<Null>,<Null>,<Null>,Pedestrian involved in a collision with transit vehicle anywhere along roadway,On Sidewalk or Shoulder,Normal,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D42,128,Agincourt South-Malvern West (128),6
-8838677.40019838,5412336.9566824,5807803,1122417,2009,2009/09/01 04:00:00+00,1203,12,SPADINA AVE,NASSAU ST,<Null>,Major Arterial,Toronto and East York,11,"52,14",43.655845,-79.39919,Intersection,<Null>,Traffic Signal,Clear,Daylight,Dry,Fatal,Cyclist Collisions,Driver,45 to 49,None,<Null>,South,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D52,78,Kensington-Chinatown (78),7
-8838677.40019838,5412336.9566824,5807804,1122417,2009,2009/09/01 04:00:00+00,1203,12,SPADINA AVE,NASSAU ST,<Null>,Major Arterial,Toronto and East York,11,"52,14",43.655845,-79.39919,Intersection,<Null>,Traffic Signal,Clear,Daylight,Dry,Fatal,Cyclist Collisions,Cyclist,65 to 69,Fatal,25,South,Bicycle,Turning Left,<Null>,<Null>,<Null>,<Null>,<Null>,Cyclist turned left across motorists path.,Disobeyed Traffic Control,Normal,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D52,78,Kensington-Chinatown (78),8
-8825853.39485899,5426472.35666185,5302056,1132060,2009,2009/09/25 04:00:00+00,2315,23,LAWRENCE AVE E,BIRCHMOUNT RD,<Null>,Major Arterial,Scarborough,21,41,43.747645,-79.28399,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,<Null>,<Null>,Other,<Null>,<Null>,<Null>,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Running onto Roadway,Had Been Drinking,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D41,126,Dorset Park (126),9
-8825853.39485899,5426472.35666185,5302057,1132060,2009,2009/09/25 04:00:00+00,2315,23,LAWRENCE AVE E,BIRCHMOUNT RD,<Null>,Major Arterial,Scarborough,21,41,43.747645,-79.28399,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D41,126,Dorset Park (126),10
