,AvgAcceleration,PercentOfVehicles,IncidentsTotal,SeverityScore,LATITUDE,LONGITUDE,COUNT,INVAGE,WARDNUM,RDSFCOND,VISIBILITY,LIGHT,TRAFFCTL,VEHTYPE,DRIVACT,DRIVCOND,SPEEDING,AG_DRIV,ALCOHOL,DISABILITY,REDLIGHT
0,0.4609620253164559,0.0563924050632911,47,0.04775,43.59,-79.54,4,Young Adult,3,Dry,Clear,Dark,No Control,Small-size Vehicle,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>
1,0.4919753086419754,0.0723703703703703,8,0.022,43.59,-79.53,11,Super Senior,3,Dry,Clear,Daylight,Traffic Signal,Small-size Vehicle,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>
2,0.5503095238095238,0.0526428571428571,6,0.028,43.59,-79.51,6,Young Adult,3,Dry,Clear,Dark,No Control,Small-size Vehicle,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>
3,0.4812285714285714,0.0431857142857142,1419,0.029125,43.6,-79.55,2,Young Adult,3,Dry,Clear,Dark,No Control,Small-size Vehicle,Improper Turn,Ability Impaired (Drugs/Alcohol),<Null>,<Null>,<Null>,<Null>,<Null>
4,0.4636626506024097,0.0456385542168674,24,0.018,43.6,-79.54,10,Adult,3,Dry,Clear,Daylight,Traffic Signal,Small-size Vehicle,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>
5,0.4756265060240964,0.0799518072289156,3,0.027,43.6,-79.53,3,Adult,3,Dry,Clear,Daylight,No Control,Small-size Vehicle,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
6,0.6140416666666666,0.0406944444444444,10,0.156,43.6,-79.51,9,Adult,3,Dry,Clear,Daylight,No Control,Small-size Vehicle,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>
7,0.6219499999999999,0.0716874999999999,109,0.1125,43.6,-79.5,11,Super Senior,3,Dry,Clear,Daylight,No Control,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
8,0.6302800000000002,0.0593599999999999,35,0.0388,43.61,-79.56,5,Adult,3,Dry,Clear,Dark,Traffic Signal,Small-size Vehicle,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
9,0.6040152671755727,0.0484885496183205,1986,0.0181904761904761,43.61,-79.55,11,Young Adult,3,Dry,Clear,Daylight,Traffic Signal,Small-size Vehicle,Failed to Yield Right of Way,Inattentive,<Null>,Yes,<Null>,<Null>,<Null>
10,0.6651415094339624,0.0606509433962264,860,0.0155882352941176,43.61,-79.54,4,Super Senior,3,Dry,Clear,Dark,No Control,Small-size Vehicle,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
11,0.563978494623656,0.0576344086021505,2160,0.0321538461538461,43.61,-79.53,9,Young Adult,3,Dry,Clear,Dark,No Control,Small-size Vehicle,<Null>,Normal,<Null>,Yes,<Null>,<Null>,<Null>
12,0.5512972972972975,0.0442162162162161,407,0.0086153846153846,43.61,-79.52,13,Young Adult,3,Dry,Clear,Daylight,No Control,Small-size Vehicle,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>
13,0.5781558441558443,0.0367402597402597,24,0.006,43.61,-79.51,6,Super Senior,3,Dry,Clear,Daylight,Traffic Signal,Small-size Vehicle,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
14,0.6134428571428574,0.0480857142857142,17,0.0156666666666666,43.61,-79.5,2,Adult,3,Dry,Clear,Artificial,No Control,Small-size Vehicle,Failed to Yield Right of Way,Inattentive,<Null>,Yes,<Null>,<Null>,<Null>
15,0.5577799999999998,0.07848,3,0.006,43.61,-79.48,5,Young Adult,3,Dry,Clear,Daylight,No Control,Small-size Vehicle,Failed to Yield Right of Way,Unknown,<Null>,Yes,<Null>,<Null>,<Null>
16,0.5735434782608696,0.0641521739130434,9,0.0045,43.62,-79.56,3,Young Adult,"2,3",Dry,Clear,Daylight,Traffic Signal,Other,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>
17,0.6916517857142858,0.0431874999999999,1207,0.012625,43.62,-79.55,6,Super Senior,3,Dry,Clear,Daylight,Traffic Signal,Small-size Vehicle,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>
18,0.7330128205128205,0.0871794871794871,3,0.014,43.62,-79.53,2,Adult,3,Dry,Clear,Daylight,No Control,Small-size Vehicle,Improper Turn,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>
19,0.5373088235294119,0.0545147058823529,238,0.021625,43.62,-79.52,12,Young Adult,3,Dry,Clear,Artificial,No Control,Small-size Vehicle,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>
20,0.5028709677419356,0.0385698924731182,205,0.0075,43.62,-79.51,12,Super Senior,3,Dry,Clear,Daylight,No Control,Small-size Vehicle,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
21,0.5381495327102803,0.0430654205607476,10,0.004,43.62,-79.5,15,Young Adult,3,Dry,Clear,Artificial,No Control,Small-size Vehicle,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>
22,0.5806883116883118,0.0430129870129869,65,0.002625,43.62,-79.49,8,Children,3,Dry,Clear,Artificial,No Control,Other,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>
23,0.8325384615384611,0.0634326923076923,1875,0.0206875,43.62,-79.48,10,Adult,3,Dry,Clear,Daylight,No Control,Small-size Vehicle,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>
24,0.6290714285714286,0.0587142857142857,16,0.004,43.62,-79.47,5,Adult,3,Dry,Clear,Daylight,No Control,Small-size Vehicle,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>
25,0.6300291262135922,0.0492427184466019,82,0.0028,43.63,-79.56,7,Young Adult,2,Dry,Clear,Daylight,No Control,Small-size Vehicle,Improper Turn,Normal,<Null>,<Null>,<Null>,<Null>,<Null>
26,0.5001881188118811,0.0358316831683168,645,0.0174615384615384,43.63,-79.55,7,Super Senior,"2,3",Dry,Clear,Daylight,Traffic Signal,Other,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>
27,0.5890476190476189,0.0456190476190476,80,0.028875,43.63,-79.54,6,Adult,3,Dry,Clear,Daylight,Traffic Signal,Small-size Vehicle,Driving Properly,<Null>,<Null>,Yes,<Null>,<Null>,<Null>
28,0.6068235294117648,0.076435294117647,10,0.0115,43.63,-79.53,5,Young Adult,3,Dry,Clear,Artificial,No Control,Small-size Vehicle,Failed to Yield Right of Way,Normal,<Null>,Yes,<Null>,<Null>,<Null>
29,0.6776626506024098,0.0836506024096385,39,0.0405,43.63,-79.52,3,Young Adult,3,Dry,Clear,Daylight,No Control,Small-size Vehicle,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
30,0.6043684210526317,0.0640394736842105,3,0.006,43.63,-79.51,2,Young Adult,3,Dry,Clear,Daylight,No Control,Large-size Vehicle,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
31,0.5102432432432433,0.057054054054054,3,0.005,43.63,-79.48,5,Adult,3,Dry,Clear,Daylight,Traffic Signal,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
32,0.5796746987951806,0.0401686746987951,505,0.0093333333333333,43.63,-79.47,17,Super Senior,4,Dry,Clear,Daylight,No Control,Other,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>
33,0.5663958333333334,0.0177916666666666,152,0.0095714285714285,43.63,-79.46,7,Young Adult,4,Dry,Clear,Artificial,No Control,Small-size Vehicle,<Null>,Normal,<Null>,<Null>,<Null>,<Null>,<Null>
34,0.80475,0.026125,251,0.008625,43.63,-79.45,9,Adult,4,Dry,Clear,Dark,No Control,Small-size Vehicle,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>
35,0.5226923076923076,0.0323846153846153,125,0.003625,43.63,-79.44,19,Adult,4,Dry,Clear,Daylight,No Control,Small-size Vehicle,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
36,0.7475581395348836,0.0352325581395348,293,0.0115384615384615,43.63,-79.43,37,Super Senior,4,Dry,Clear,Daylight,No Control,Small-size Vehicle,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
37,0.6212857142857142,0.0521428571428571,161,0.0061538461538461,43.63,-79.42,18,Super Senior,10,Dry,Clear,Artificial,No Control,Small-size Vehicle,<Null>,Normal,<Null>,<Null>,<Null>,<Null>,<Null>
38,0.5410126582278482,0.0535949367088607,103,0.0035714285714285,43.63,-79.41,9,Adult,10,Dry,Clear,Artificial,Traffic Signal,Small-size Vehicle,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
39,0.4774109589041095,0.0325753424657534,244,0.0097142857142857,43.63,-79.4,14,Super Senior,10,Dry,Clear,Dark,Traffic Signal,Small-size Vehicle,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
40,0.5079999999999999,0.0270925925925926,297,0.0083,43.63,-79.39,19,Adult,10,Dry,Clear,Daylight,Traffic Signal,Small-size Vehicle,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>
41,0.5513750000000001,0.037625,109,0.0113333333333333,43.63,-79.38,18,Adult,10,Dry,Clear,Daylight,Traffic Signal,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
42,0.5809500000000001,0.0570499999999999,19,0.01925,43.64,-79.57,7,Adult,2,Dry,Clear,Daylight,Traffic Signal,Small-size Vehicle,<Null>,Normal,<Null>,Yes,<Null>,<Null>,<Null>
43,0.5791666666666665,0.0578947368421052,208,0.0047857142857142,43.64,-79.56,10,Adult,2,Dry,Clear,Daylight,Traffic Signal,Small-size Vehicle,Failed to Yield Right of Way,Normal,<Null>,Yes,<Null>,<Null>,<Null>
44,0.6140833333333334,0.0426666666666666,6,0.0205,43.64,-79.54,2,Young Adult,2,Dry,Clear,Dark,No Control,Small-size Vehicle,Improper Turn,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>
45,0.5270312499999998,0.0517395833333333,33,0.0144,43.64,-79.53,6,Super Senior,3,Dry,Clear,Daylight,No Control,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
46,0.5434666666666665,0.0507777777777777,77,0.0271666666666666,43.64,-79.52,15,Young Adult,3,Dry,Clear,Daylight,No Control,Small-size Vehicle,<Null>,Inattentive,<Null>,Yes,<Null>,<Null>,<Null>
47,0.5037227722772276,0.0488019801980197,7,0.0065,43.64,-79.51,6,Young Adult,3,Dry,Clear,Daylight,Traffic Signal,Small-size Vehicle,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
48,0.5116268656716418,0.0300597014925373,5,0.01,43.64,-79.5,4,Adult,3,Dry,Clear,Daylight,Stop/Yield Sign,Large-size Vehicle,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>
49,0.5110416666666666,0.0222916666666666,3,0.005,43.64,-79.49,4,Adult,3,Dry,Clear,Daylight,No Control,Small-size Vehicle,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>
50,0.4774027777777777,0.0651527777777777,10,0.0065,43.64,-79.48,7,Young Adult,4,Dry,Clear,Daylight,Traffic Signal,Two Wheeler,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
51,0.5005072463768115,0.0604782608695652,5,0.011,43.64,-79.47,2,Senior,4,Dry,Clear,Daylight,Stop/Yield Sign,Large-size Vehicle,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
52,0.6587971014492754,0.0421739130434782,83,0.029,43.64,-79.45,10,Adult,4,Dry,Clear,Daylight,No Control,Small-size Vehicle,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>
53,0.749137254901961,0.0659705882352941,13,0.0053333333333333,43.64,-79.43,28,Super Senior,4,Dry,Clear,Daylight,Traffic Signal,Small-size Vehicle,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>
